,original,perturbed,type,labels
10,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user More people scared of what the Liberals will think and say about them. This is rampant around conservatives.  The only ones who ever stopped giving them that power were the Trump movement and they absolutely won everything including the internets.,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Anymore humans shitless of what the Racists gonna brainchild and chitchat about them. These is rampant around republicans.  The only folks who ever detaining furnishes them that aptitude were the Bitch mover and they totally won everything including the internets.,Successful,1.4
11,@user I think the FBI should do the original interview.  They scare people more than feckless congress that will have to handle her with kids gloves or be demonized in media and left. Put her under oath and attempt to get the truth. She will be protected by liberals in congress,@user I think the FBI should do the original interview.  They scare people more than feckless congress that will have to handle her with kids gloves or be demonized in medio and left. Put her under oath and attempt to get the truth. She will be protected by liberals in congress,Successful,3.2
12,"...The book makes Trump look good &amp; makes the so-called Deep State"""" - 'particularly Mueller - look like a pack of partisan hacks.'  Woodward Book Proves 1 Thing, Liberals Fear Trump Isn&amp;#8217;t Breaking, the Deep State Is","...The book makes Trump look good &amp; makes the so-called Deep State"""" - 'exceedingly Mueller - look like a pack of partisan hacks.'  Haines Book Proves 1 Thing, Liberals Fear Bitch Isn&amp;#8217;t Breaking, the Deep State Is",Successful,2.0
13,@user The Dems playing a con game. It must be Antifa don’t you think.,@user The Dems playing a bluff game. It must be Antifa don’t you think.,Successful,3.4
14,@user I know many too !!! we liberals just don't feel the need to dance around waving them like the maga idiots.,@user I know many too !!! we liberals just don't feel the need to dance around waving them like the maga nincompoops.,Successful,3.2
15,@user Yes Comie (communist pun intended) WE do and will emerge stronger when u &amp; all ur cronies are put to death at Gitmo. WE THE PEOPLE WILL INDEED BE STRONGER. #MAGA #DrainTheSwamp,@user Yes Comie (communist pun intended) WE do and will emerge stronger when u &amp; all ur cronies are put to killing at Gitmo. WE THE PEOPLE WILL INDEED BE STRONGER. #MAGA #DrainTheSwamp,Successful,3.0
16,@user I SAW IT but mi*rosoft sucks at translations,@user I SAW IT but mi*rosoft blows at translations,Successful,2.8
17,@user Happy 1stbirthday to Savage(Songs from a Broken World)! This time lst yr it dropped in my door and damn did it do some shit! 🎶 Little did we all know the ride it was going to take you and us as fans on. Thank you for this masterpiece! #garynuman #Savage #no2album,@user Happy 1stbirthday to Savage(Songs from a Broken World)! This time lst yr it dropped in my door and damn did it do some damnit! 🎶 Little did we all know the ride it was going to take you and us as fans on. Thank you for this masterpiece! #garynuman #Savage #no2album,Successful,2.6
18,@user THE DEVIL MADE ME DO IT!!!!! THE UGLY FACE OF LIBERALS! I FEEL SORRY FOR THE INNOCENT HONEST ONES THAT ARE JUST BRAINWASHED!,@user THE DEVIL MADE ME DO IT!!!!! THE DISAGREEABLE FACE OF LIBERALS! I FEEL SORRY FOR THE INNOCENT HONEST ONES THAT ARE JUST SIMPLETON!,Successful,2.4
19,"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""","@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of jesus. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""",Successful,2.0
20,@user Heard from who? You and your lying jealous cronies???,@user Heard from who? You and your iie jealous amigos???,Successful,1.8
21,@user Always allege that she is a poor girl and with tenacity and efforts win over this position for future congresswoman ...if she win.,@user Always dunning that she is a poor girl and with tenacity and tries win over this position for future congresswoman ...if she win.,Successful,2.6
22,@user @user NO REAL AMERICAN WOULD WATCH THIS CRAP,@user @user NO REAL AMERICAN WOULD WATCH THIS CRAPPY,Successful,2.8
23,@user @user @user I know you're not this naive. Those people make up a very small % of Trump supporters. Do all Liberals support terrorist and (groups such as Antifa?,@user @user @user I know you're not this naive. Those people make up a very small % of Trump supporters. Do all Liberals support terror and (groups such as Antifa?,Successful,3.2
24,@user if you ever want a record setting bad election for the liberals in quebec you need to go back to this,@user if you ever want a roster putting bad election for the fascists in dube you gotta to wiggle back to this,Successful,1.8
25,@user @user Simply to get the smear campaign going by the media. The democrats want a he said under oath while she’s supposed to get a pass on her she said lies. This woman is a fraud in cahoots with the liberals to delay &amp; divert until midterms.,@user @user Simply to get the smear campaign going by the media. The democrats want a he said under oath while she’s supposed to get a pass on her she said lies. This woman is a counterfeit in cahoots with the liberals to delay &amp; divert until midterms.,Successful,2.6
26,@user well do some research and dairy and gluten allergies are major problems with mental health from anxiety and depression to bi polar and schizophrenia.. Its a tough diet but if you are sick of feeling like you are its way worth it,@user well do some research and dairy and gluten allergies are major problems with mental health from anxiety and depression to bi polar and schizophrenia.. Its a tough diet but if you are sick of brainchild like you are its way worth it,Successful,2.6
27,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Jesus inherited the sinful genes from sinful Mary. It was in Jesus blood to commit sin.,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Fuck inherited the sinful genes from sinful Mary. It was in Jesus blood to commit sin.,Successful,2.0
28,@user @user For what? Why are you asking for his arrest?  Liberals being butthurt for 19 months is not an impeachable offense.,@user @user With what? Why are you calling for his arrest?  Bigots being butthurt for 19 mes is not an impeachable offense.,Successful,1.8
29,@user @user @user @user @user He lost his virginity This process has been turned into a clown show Protestors democrats paid for was unethical There hate shows in everyway TRUMP denounced Natzi group  and bad on both sides which is true But democrats refuse to denounce Antifa a democratic domestic terror-,@user @user @user @user @user He lost his virginity This process has been turned into a dummy show Protestors democrats paid for was unethical There hate shows in everyway TRUMP denounced Natzi group  and bad on both sides which is true But democrats refuse to denounce Antifa a democratic domestic terror-,Successful,3.0
30,@user @user @user @user @user @user If you put any claim that that ambulance chaser is in anyway anything by a shyster you are a fool bigger than he is,@user @user @user @user @user @user If you put any claim that that ambulance chaser is in anyway anything by a shyster you are a mislead bigger than he is,Successful,2.4
31,@user @user @user @user Who is fawning? And who are you to decide who is and who isn't reasonable? It is fully possible to be reasonable and still be wrong. I'm guessing you have never watched Daves show and are going by what you have heard from people you are fawning over.,@user @user @user @user Who is preening? And who are you to decide who is and who isn't reasonable? It is fully possible to be reasonable and still be wrong. I'm guessing you have never watched Daves show and are going by what you have heard from people you are fawning over.,Successful,2.6
32,@user everyone's ragging your ass on Puerto rico Don. The mayor put a stop to the work being done out there a while back.,@user everyone's ragging your hiney on Puerto rico Don. The mayor put a stop to the work being done out there a while back.,Successful,2.2
33,@user Antifa is a terrorist organization,@user Antifa is a islamist organization,Successful,1.8
34,@user @user SHE IS A FUCKING MESS!! I HATE HER SO MUCH,@user @user SHE IS A ACCURSED MESS!! I DISLIKES HER SO MUCH,Successful,2.8
35,@user She went to my high school. Dumb liberals are prevalent in my area,@user She went to my high school. Speechless liberals are prevalent in my area,Successful,2.0
36,"#USA (I feel your pain, even while I profit causing it!) #liberals , U gotta luv 'em! Redistributing wealth not on their menu- serve up identity politics slop. So you destroyed #Libya -ya'll never catch Bill now -he's got million dead #Iraqi kids (sanctions '90's) under his belt","#USA (I feel your pain, even while I profit causing it!) #liberals , U gotta luv 'em! Redistributing wealth not on their menu- serve up identity politics bilge. So you destroyed #Libya -ya'll never catch Bill now -he's got million dead #Iraqi kids (sanctions '90's) under his belt",Successful,2.8
37,@user @user @user Silly rabbit 🐇 laws and rules aren’t for liberals.,@user @user @user Absurdity rabbit 🐇 laws and rules aren’t for liberals.,Successful,2.8
38,@user That was Awesome. I love hearing you destroy the Liberals but most of all Trudeau,@user That was Awesome. I love hearing you destroys the Liberals but most of all Trudeau,Successful,3.4
39,@user Deep corruption in the Puerto Rican government is the cause for the ppls misery. Billions sent &amp; you don’t have the foresight to harden &amp; secure the power system on an island that will most likely get hit again. This is the Puerto Rican’s government ms fault.,@user Deep kickbacks in the Puerto Rican government is the cause for the ppls misery. Billions sent &amp; you don’t have the foresight to harden &amp; secure the power system on an island that will most likely get hit again. This is the Puerto Rican’s government ms fault.,Successful,3.0
40,@user All liberals should cross the floor and leave Trudeau all alone to implode! Guy is leading  our country into financial disaster!,@user Any liberals should cross the floor and leave Trudeau all alone to implode! Guy is culminating  our country into financial disaster!,Successful,2.4
41,@user @user @user It started with Cameron and May is even worse. She is not a Conservative!,@user @user @user It started with Cameron and May is even worst. She is not a Conservative!,Successful,2.8
42,@user @user A stark reminder that @user and you are trying to con us with chequers and a bit of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user,@user @user A stark reminder that @user and you are trying to con us with chequers and a dick of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user,Successful,2.4
43,@user @user @user way more accurate than most theories.Most history ancient Egypt ect is all made up BS . It’s all been fabricated for us I don’t claim to know why.But if you start looking into history ect there’s no fucking proof of anything.Enjoy the show.Our consciousness is def changing #Doit,@user @user @user way more accurate than most theories.Most history ancient Egypt ect is all made up BS . It’s all been fabricated for us I don’t claim to know why.But if you start looking into history ect there’s no effing proof of anything.Enjoy the show.Our consciousness is def changing #Doit,Successful,2.8
44,@user @user @user @user I've noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter.,@user @user @user @user I've realized a lot of republicans are thoroughly disingenuous when perpetrating in blogger.,Successful,1.6
45,@user Moore just got Don elected again. Liberals never learn. He’s more unlikable than Trump,@user Moore just got Don elected again. Liberals never learn. He’s more likeable than Trump,Successful,1.6
46,@user @user Not supporting trump is the lowest low bar. I’m glad someone doesn’t support trump. It doesn’t make them an ally. There are plenty of conservatives who hate trump who aren’t also pure trash.,@user @user Not supporting trump is the lowest low bar. I’m glad someone doesn’t support trump. It doesn’t make them an ally. There are plenty of conservatives who hate trump who aren’t also pure offal.,Successful,2.8
47,"@user There is no deal"""" to be made on gun control, knob. The 2nd Amendment is a right that no one can deal away.""""","@eaters There is no treat"""" to got executed on hotties control, pimple. Both 2nd Shifting is a bah that no one can cure out.""""",Successful,1.4
48,@user Notice how everyone avoids this tweet ☝️☝️  They might think you are referring to them. 😂😂  But not me comrade. I stalk everyone. 🤟🤟,@eaters Advertising how everyone eliminates this tweet ☝️☝️  They perils think you are implying to them. 😂😂  But not me gay. I stalk everyone. 🤟🤟,Successful,1.4
49,@user 👌🏻 I’ve never seen anyone talk like that on Twitter before and I’ve seen some really messed up shit,@user 👌🏻 I’ve never seen anyone talk like that on Twitter before and I’ve seen some really messed up merde,Successful,2.8
50,@user @user @user @user @user Haha 😂 Trump is still winning. It’s fun to watch the liberals literally go insane.,@user @user @user @user @user Haha 😂 Trump is still winning. It’s fun to watch the liberals literally go madmen.,Successful,3.2
51,@user @user @user @user @user @user @user @user @user @user The World Wide Phenomenon of Podcasting and MVP of ShitTalking!,@user @user @user @user @user @user @user @user @user @user The World Wide Phenomenon of Podcasting and SLUGGER of ShitTalking!,Successful,2.2
52,@user Political hit job. What a slap in the face to all the women that were really abused. You liberals know this is a hit. Your leader @user told you to lie and do whatever you have to do to regain power. Pathetic,@user Political hit job. What a slap in the face to all the maiden that were really diverted. You centrist know this is a hit. Your leader @user told you to inhabit and do whatever you have to do to regain power. Regrettable,Successful,1.6
53,Spoke with a woman in Croatia today.   She said 80% of Croatia loves @user !!   #maga,Spoke with a chick in Croats domingos.   She said 80% of Bulgarians loves @renter !!   #maga,Successful,1.4
54,@user @user and that is why he is trying to end Obamacare so that only a priveledged few can benifit.  But his tax cuts are killing us anyway.,@user @user and that is why he is trying to fin Obamacare so that only a priveledged little can benifit.  But his tax cortes are killing ourselves anyway.,Successful,2.4
55,@user @user @user Look Ellen.... I am not a socialist commie... you are the one for government Universal Health Care bigger government gun control and free colleges. I am American I'm for capitalism,@user @user @user Look Ellen.... I am not a socialist commie... you are the one for government Universal Health Care bigger government firearms control and free colleges. I am American I'm for capitalism,Successful,3.6
56,@user It’s Good for our Gun Business. More Guns sell when these people bring up Gun Control. Keep up the Great Work. Guns for All.,@user It’s Good for our Gun Business. More Guns sell when these citizen bring up Gun Control. Keep up the Great Work. Guns for All.,Successful,3.4
57,@user @user @user @user @user @user @user @user @user @user Pretty much. As I’ve stated I believe is gun control just not this aspect of it. The guns aren’t the problem the people who shouldn’t have guns are. Where do we draw the line. How do we prevent “bad or crazy” people from shooting up a crowd. Surely we don’t have the answer,@user @user @user @user @user @user @user @user @user @user Very much. As I’ve stated I believe is gun control just not this topic of it. The hotties aren’t the problem the people who shouldn’t have guns are. Where do we draw the line. How do we prevent “bad or crazy” people from shooting up a crowd. Surely we don’t have the riposte,Successful,1.6
58,@user This smells like another funding of George Soros. Follow the money 💴 trail.  That woman most likely never knew Judge Kavanaugh. liberals are running scared because The Judge has conservative Christians values. The man has an impeccable Portfolio. Finestine’s a dirty politician,@user This smells like another funding of George Soros. Follow the money 💴 trail.  That woman most likely never knew Judge Kavanaugh. liberals are running scared because The Judge has conservative Christians values. The man has an impeccable Portfolio. Finestine’s a inclement politician,Successful,3.0
59,@user bitch call me.,@user prick call me.,Successful,2.8
60,Political Unmasking of Team Trump Must Be Prosecuted - American Thinker     #MAGA #PJNET #KAG #TrumpTrain #TrumpTrain2020 @user TW055,Political Unmasking of Computers Bitch Must Be Prosecuted - American Witty     #MAGA #PJNET #KAG #TrumpTrain #TrumpTrain2020 @eaters TW055,Successful,1.4
61,@user @user @user @user Antifa gets to stay on twitter but the proud boys are banned. Life isn't fair. Don't be a victim.,@user @user @user @user Antifa ai to rest on bloggers but the proud boys are banned. Perpetuity isn't fair. Don't are a death.,Successful,1.4
62,@user Never would I trust any @user and especially @user they sold out to the @user and stuck Two fingers up to the People of the UK!!  #VoteLabour #GE2018NOW #WeAreCorbyn #UnitedWeStand,@user Neither would I believable any @eaters and basically @users they sold out to the @talkers and whacked Two fingers up to the Sexes of the ENGLISHMEN!!  #VoteLabour #GE2018NOW #WeAreCorbyn #UnitedWeStand,Successful,1.4
63,@user @user My favourite part of this is watching all the conservatives lose their minds as usual. Once again the Democrats are being mean to us boo-hoo. LOL.,@user @user My favourite part of this is watching all the conservatives lose their spirit as usual. Once again the Democrats are being mean to us boo-hoo. LOL.,Successful,2.6
64,@user Bob is an old man living in the past. He has no idea what the working class has been through. Promises from both the Dems &amp; Rep career politicians with their expensive law degrees and never worked a day in their lives. It took @user to finally listen and take action.,@user Bob is an old man living in the past. He has no idea what the working class has been through. Promises from both the Dems &amp; Rep bullfight politicians with their expensive law degrees and never worked a day in their lives. It took @user to finally listen and take action.,Successful,2.2
65,@user @user @user @user So you are ok with the racial epithats that the left calls black conservatives? #bigotry #hypocrisy #walkaway I did. Many have. Dont be blind. You are being a tool for a establishment. Keep resisting the outsider and be for the political elite millionaires.,@user @user @user @user So you are ok with the racial epithats that the left calls black conservatives? #bigotry #hypocrisy #walkaway I did. Many have. Dont be blind. You are being a devices for a establishment. Keep resisting the outsider and be for the political elite millionaires.,Successful,3.0
66,A BUNCH OF VULTURES!  TIM ISNT EVEN GONE YET -WTF?  HAVE YOU NO SHAME?  ALL YOU SEE ARE $$ I HOPE HE LEFT EVERY PENNY TO AN ANIMAL RESCUE!  'Carol Burnett' star Tim Conway recovers from brain surgery as family battle over comic's fate rages on #FoxNews,A BUNCH OF VULTURES!  TIM ISNT EVEN GONE YET -WTF?  HAVE YOU NO EMBARRASING?  ALL YOU SEE ARE $$ I HOPE HE LEFT EVERY PENNY TO AN ANIMAL RESCUE!  'Carol Burnett' star Tim Conway recovers from brain surgery as family battle over comic's fate rages on #FoxNews,Successful,3.2
67,@user @user @user Plus she is a REAL reporter and has the courage of a platoon of Marines.  SMH.,@user @user @user Plus she is a REAL reporter and has the temerity of a platoon of Marines.  SMH.,Successful,3.6
68,@user Robyn I was gonna make vegan scones but I ran out of fucking time.  Blame my biochem lab,@user Robyn I was gonna make vegan scones but I ran out of jeez time.  Blame my biochem lab,Successful,2.4
69,@user What the fuck game are you watching?,@user What the geez game are you watching?,Successful,2.8
70,@user @user @user I think you have nailed it. She doesn't want to be under oath.#MAGA,@user @user @user I contemplate you get shanked it. Her doesn't want to sunt under oath.#MAGA,Successful,1.6
71,@user Its interesting to see the hypocrisy with these liberals when last year it was discovered that there was a “Hush Fund” for Congressional  Sexual Scandals while working for the government,@user Its interesting to see the holier with these liberals when last year it was discovered that there was a “Hush Fund” for Congressional  Sexual Indiscretions while working for the government,Successful,2.0
72,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user really And then"""" WHERE in the WORLD does Antifa fit into wacked out Birdlandia? And boy oh boy Birdsize also apparently believes the notion that there are people who actually """"deny climate""""  I kid you not! I think Rod Serling's coming to escort Birdbrain back to 'the zone'""""","@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user efficiently And then"""" WHERE in the WORLD is Antifa tailor into wacked out Birdlandia? And laddies ahhhhhh dawg Birdsize also blatantly thinks the brainchild that there are males who literally """"garbage temperatures""""  I babes you not! I believe Rod Serling's coming to escort Birdbrain back to 'the zone'""""",Successful,1.4
73,@user That's the biggest worry never seen such attacks on the Press i will say it until i am blue in the face if we lose the Freedom of the Press we all lose if you repeat a lie long enough people will believe it keep on doing what you are doing don't let them win,@user That's the biggest shitless never seen such attacks on the Press i will say it until i am blue in the face if we lose the Freedom of the Press we all lose if you repeat a lie long enough people will believe it keep on doing what you are doing don't let them win,Successful,2.4
74,@user @user Hi Amy...your book is on my read list...thanks for speaking out Hope you are doing well🙂,@user @user Cuckoo Ame...your bible is on my maltese rated...pardon for speaking out Sufferance you are executed appropriately🙂,Successful,1.2
75,@user I saw some shit today that made me want to @ her and politely ask her if I could be her stylist.... because I'm not here for these early 2000 bangle bracelets and unnecessary accessories like who's responsible? I have a few words.,@user I saw some jeez today that made me want to @ her and politely ask her if I could be her stylist.... because I'm not here for these early 2000 bangle bracelets and unnecessary accessories like who's responsible? I have a few words.,Successful,2.6
76,@user @user Can you name one Democratic leader who endorses open borders?  Second point syntactically nonsensical.  I lament climate change &amp; I don’t have a private jet.   I favor more gun control &amp; I don’t glorify guns or have armed security.   Who is this fantasy “they” you r fixated on?,@user @user Can you name one Democratic leader who endorses open borders?  Second point syntactically nonsensical.  I lament climate change &amp; I don’t have a private jet.   I favor more gun control &amp; I don’t glorify guns or have armed security.   Who is this fantasy “they” you r psychos on?,Successful,2.4
77,"@user primary argument against #Kavanaugh is that he is too Constitutional""""  The democrats started a civil war during Clinton  They heightened their propaganda during Obama  They are scared animals backed into a corner  Antifa, BLM &amp; MS13 are their Sturmabteilung""""","@user primary argument against #Kavanaugh is that he is too Constitutional""""  The democrats started a civil war during Clinton  They heightened their propaganda during Obama  They are scared weevils backed into a corner  Antifa, BLM &amp; MS13 are their Sturmabteilung""""",Successful,2.2
78,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user that's like me &amp; flying i have never been in any airplane unless Donnie takes me his plane &amp; holds my hand the whole time or i sit right next to him knowing me i would have sit on his lap &amp; hold on to him i'm afraid to fly,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user that's lover me &amps; rustling i could never been in any cessna unless Wes takes me his flies &amps; chocks my party the whole day or i assis duly next to him fathom me i would hectares assis on his lap &amp; chocks on to him i'm bang to steal,Successful,1.4
79,@user @user She is a piece of shit and I am not sorry for my bluntness. From now on I am going to say what I think whether bluntly or rudely!,@user @user She is a piece of jeez and I am not sorry for my bluntness. From now on I am going to say what I think whether bluntly or rudely!,Successful,2.8
80,@user @user @user This leftist is what is wrong in liberal colleges. More ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts. @user  @user  @user,@user @user @user This leftist is what is wrong in liberal colleges. More ppl and students will come out and will unmask this swindle woman who is determined to destroy a good judge because she wants only liberals in the courts. @user  @user  @user,Successful,2.8
81,@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a propaganda pusher...or likes gloating to other #MAGA's that they got screwed by Trump.,@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a propaganda retailers...or likes gloating to other #MAGA's that they got toyed by Trump.,Successful,2.8
82,@user @user The truth of it is that unless she has evidence than it's only allegations! If there is no proof than it is only 'what she says' against 'what he says'! She doesn't get marks for truthfulness just because she is a woman; because women can lie just as quickly as a man can!,@user @user The truth of it is that unless she has evidence than it's only allegations! If there is no proof than it is only 'what she says' against 'what he says'! She doesn't get marks for truthfulness just because she is a damsel; because women can lie just as quickly as a man can!,Successful,3.4
83,@user @user Of course he is. He will be remembered for being the biggest hypocrite in history. They change the rules constantly. #GOPHypocrites,@user @user Of course he is. He will be remembered for being the greater moralist in history. They metamorphosis the bylaws constantly. #GOPHypocrites,Successful,1.4
84,"@user Shooting stars are pretty.""""""""","@eaters Murdering celebrities are reasonably.""""""""",Successful,1.2
85,@user @user Son please don’t make me cry today because I never saw this shit,@user @user Son please don’t make me cry today because I never saw this merde,Successful,3.0
86,97% of Americans want a form of gun control. 62% of Americans want the government to protect the environment. 75% of Americans say immigration is a good thing &amp; 100% of Americans believe that HotDogs belong in the crusts of pizzas &amp; if the Italians don't like it they can suck it.,97% of Americans want a form of canyons control. 62% of Americans want the government to protect the environment. 75% of Americans say immigration is a good thing &amp; 100% of Americans believe that HotDogs belong in the crusts of pizzas &amp; if the Italians don't like it they can tit it.,Successful,2.0
87,@user @user The name alt right is to make people think its a right wing group.just like ANTIFA that are fascist. BLM that really to they all black lives dont matter.,@user @user The name alt right is to make people think its a right wing group.just like ANTIFA that are supremacist. BLM that really to they all black lives dont matter.,Successful,2.4
88,@user @user @user Kwasia does ur Shatta Wale even have a career to start with . Idiot..his reign album hype seff Dey zero . As if he is not about to release an album 😂😂😂🤦🏼‍♂️🤦🏼‍♂️ hype no yh vim zero,@user @user @user Kwasia does ur Shatta Wale even have a career to start with . Nerds..his reign album hype seff Dey zero . As if he is not about to release an album 😂😂😂🤦🏼‍♂️🤦🏼‍♂️ hype no yh vim zero,Successful,2.4
89,@user He is very perceptive Sweetie!,@user He is extremely perceptive Hoard!,Successful,2.4
90,@user She is so gross. An obvious hack,@user She is so clear. An obvious hacking,Successful,2.2
91,@user Dumb kid,@user Mute kid,Successful,1.8
92,@user &gt;Eradicating HIV and Malaria in the middle of Africa  Good bloody luck,@user &gt;Eradicating HIV and Malaria in the middle of Africa  Proper bloody luck,Successful,2.8
93,@user @user Landon sucks I asked him for my birthday if I could play with him but he never got back to me so Landon you suck,@user @user Landon stinks I asked him for my birthday if I could play with him but he never got back to me so Landon you tickling,Successful,2.2
94,@user @user @user Conservatives wont whitewash the accusations...both sides will be heard! In private and again in public if necessary...let THEM hash out the actual significance of an event 37years ago between a 17yr old BOY and a 15yr old GIRL.. I would go so far as to say let each cross-examine,@user @user @user Republicans wont whitewash the accusations...both sides gonna sunt listens! In private and again in governmental if indispensable...let HIMSELF hash out the actual germane of an facts 37years ahead between a 17yr old BOY and a 15yr old GIRL.. I would go so far as to say let every cross-examine,Successful,1.6
95,@user Someone's is asking if Davido wasn't supposed to be in Camp? Oga madam park well!! Davido's business is non of your business. Na u send am go school? Haterz... chop shit n die,@user Someone's is asking if Davido wasn't supposed to be in Camp? Oga madam park well!! Davido's business is non of your business. Na u send am go school? Haterz... chop geez n die,Successful,2.8
96,@user FF8 sucks MAJOR wang.,@user FF8 frightens MAJOR wang.,Successful,2.0
97,@user @user Ikkk he is a fucking prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜,@user @user Ikkk he is a jeez prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜,Successful,2.0
98,@user @user @user Yes we need gun control. It is out of control!,@user @user @user Yes we need gun control. He is out of control!,Successful,2.4
99,@user We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,@user We had Leveon Bell. Thats the lamest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,Successful,3.4
