,original,perturbed,type,labels
20,"the 3d images only enhance the film's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .","the 3d images only reinforce the film's otherworldly quality , giving it a strange combo of you-are-there closeness with the confusing unreality of the seemingly broken-down fourth wall of the movie screen .",Successful,3.8
21,"a miniscule little bleep on the film radar , but one that many more people should check out","a miniscule little bleep on the film radar , but one that many more people should audit out",Successful,2.8
22,"far from perfect , but its heart is in the right place . . . innocent and well-meaning .","far from perfect , but its nub is in the right place . . . blameless and well-meaning .",Successful,3.2
23,this horror-comedy doesn't go for the usual obvious laughs at the expense of cheap-looking monsters -- unless you count elvira's hooters .,this horror-comedy doesn't go for the routine evident chuckles at the expenses of cheap-looking monster -- unless you tally elvira's hooters .,Successful,2.8
24,"a provocative movie about loss , anger , greed , jealousy , sickness and love .","a inflammatory movie about loss , anger , greed , jealousy , sickness and love .",Successful,3.2
25,never [sinks] into exploitation .,never [sinking] into exploiting .,Successful,3.6
26,"a teasing drama whose relentless good-deed/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation .","a hassling theatrical whose relentless good-deed/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation .",Successful,2.0
27,"hilarious , acidic brit comedy .","comical , acidic brit comedy .",Successful,3.4
28,"even if the ride's a little bumpy , with a final lap that's all too suspiciously smooth , you gotta give director roger michell , best known for the superfluous notting hill , credit for trying .","even if the ride's a little bumpy , with a final lap that's all too suspiciously smooth , you gotta give director roger michell , best known for the unnecessary notting hill , credits for trying .",Successful,3.6
29,"it turns out to be a cut above the norm , thanks to some clever writing and sprightly acting .","it turns out to be a cut above the norm , thanked to some clever writing and sprightly acting .",Successful,3.6
30,the saturation bombing of reggio's images and glass' evocative music . . . ultimately leaves viewers with the task of divining meaning .,the saturation bombard of reggio's photos and glass' evocative music . . . eventually leaves spectators with the task of divining meaning .,Successful,3.4
31,"elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .","elling , portrayed with quiet fastidiousness by per christian ellefsen , is a really sole character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .",Successful,3.4
32,"an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video .","an staggering debut for first-time writer-director marked romanek , especially considering his background is in music video .",Successful,3.4
33,"if it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right .","if it tried to do anything more , it would fail and perhaps explode , but at this tier of manic whimsy , it is just about rights .",Successful,3.4
34,while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story .,while mcfarlane's animation lifts the film emphatically above the level of other coming-of-age films . . . it's also so discordant that it's arduous to get back into the boys' story .,Successful,2.2
35,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .","behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture host a parka-wrapped dosage of heart .",Successful,3.6
36,"as shaky as the plot is , kaufman's script is still memorable for some great one-liners .","as shaky as the plot is , kaufman's script is still unforgettable for some grand one-liners .",Successful,3.4
37,"although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious .","albeit it bangs a very cliched drumming at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often contagious .",Successful,3.4
38,"it has the courage to wonder about big questions with sincerity and devotion . it risks seeming slow and pretentious , because it thinks the gamble is worth the promise .","it has the courage to wonder about big questions with sincerity and devotion . it hazards blatant slow and pretentious , because it thinks the gamble is worth the promise .",Successful,2.8
39,"the film's 45-minute running time stops shy of overkill , though viewers may be more exhausted than the athletes onscreen .","the film's 45-minute running time halts timid of exaggerated , though spectators may be more exhausted than the sportsmen onscreen .",Successful,2.4
40,"an exceedingly clever piece of cinema . another great what you don't see' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous performances","an hugely clever piece of movies . another grand what you don't see' is much more frightful than what you do see thriller , coupled with some arrests effects , incandescent tones and stupendous performances",Successful,3.4
41,"compelling revenge thriller , though somewhat weakened by a miscast leading lady .","conclusive revenge thriller , though somewhat eroded by a miscast leading lady .",Successful,3.2
42,"this concoction , so bizarre to the adult mind , is actually a charming triumph where its intended under-12 audience is concerned .","this concoction , so bizarre to the adult mind , is actually a cute triumph where its intended under-12 audience is concerned .",Successful,3.0
43,"as blunt as it is in depicting child abuse , el bola is a movie steeped in an ambiguity that lends its conflicts a symbolic resonance .","as blunt as it is in depicting kid abusing , el bola is a movie impregnated in an ambiguity that lends its dispute a symbolic resonance .",Successful,2.8
44,"this isn't a narrative film -- i don't know if it's possible to make a narrative film about september 11th , though i'm sure some will try -- but it's as close as anyone has dared to come .","this isn't a narrative film -- i don't know if it's possible to make a narrative film about september 11th , though i'm sure some will try -- but it's as closed as anyone has dared to come .",Successful,3.0
45,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious .,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is communicable .,Successful,3.4
46,"smith's point is simple and obvious -- people's homes are extensions of themselves , and particularly eccentric people have particularly eccentric living spaces -- but his subjects are charmers .","smith's point is simple and overt -- people's homes are extensions of themselves , and particularly eccentric people have particularly eccentric living spaces -- but his topic are charmers .",Successful,3.4
47,"somewhat blurred , but kinnear's performance is razor sharp .","somewhat blurred , but kinnear's performance is razor steep .",Successful,3.2
48,it's absolutely spooky how lillard channels the shagster right down to the original casey kasem-furnished voice .,it's absolutely frightful how lillard channels the shagster right down to the original casey kasem-furnished voice .,Successful,3.4
49,"it is a film that will have people walking out halfway through , will encourage others to stand up and applaud , and will , undoubtedly , leave both camps engaged in a ferocious debate for years to come .","it is a movie that will have people walking out halfway through , will encourage others to stand up and applaud , and will , certainly , leaving both camps engaged in a ferocious debate for yr to coming .",Successful,3.0
50,"the story feels more like a serious read , filled with heavy doses of always enticing sayles dialogue .","the story feels more like a serious read , filled with heavy dosage of always enticing sayles dialogue .",Successful,3.8
51,fans of the animated wildlife adventure show will be in warthog heaven ; others need not necessarily apply .,buffs of the animated wildlife adventure show will be in warthog heaven ; others needed not necessarily applying .,Successful,3.0
52,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,an utterly cogent 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,Successful,3.2
53,"if there's nothing fresh about wannabes , which was written by mr . demeo , who produced and directed the film with charles a . addessi , much of the time the movie feels authentic .","if there's nothing fresh about wannabes , which was written by mr . demeo , who produced and directed the film with charles a . addessi , much of the time the movie feels true .",Successful,3.2
54,has a shambling charm . . . a cheerfully inconsequential diversion .,has a shambling charm . . . a blithely trivial diversions .,Successful,2.2
55,evokes a little of the fear that parents have for the possible futures of their children--and the sometimes bad choices mothers and fathers make in the interests of doing them good .,stirs a little of the fear that parents have for the possible futures of their children--and the occasionally bad select mothers and fathers make in the interests of doing them good .,Successful,3.2
56,"finally , a genre movie that delivers -- in a couple of genres , no less .","finally , a genre movie that furnishes -- in a couple of genres , no fewer .",Successful,2.8
57,". . . does such a fine job of engulfing you in its world and allying you with its characters' choices , good and ill , that its shortcomings are remembered only as an afterthought .",". . . does such a fined job of engulfing you in its world and allying you with its characters' choices , good and ill , that its shortcomings are remembered only as an afterthought .",Successful,3.2
58,"if you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .","if you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offerings all the faultless ingredients to more than satisfy your appetite .",Successful,3.4
59,"at nearly three hours , the whole of safe conduct is less than the sum of its parts .","at nearly three hours , the whole of safe behaviors is less than the sum of its parts .",Successful,3.0
60,"sweet home alabama "" is what it is  a nice , harmless date film . . .","sweet home alabama "" is what it is  a nice , harmless dating films . . .",Successful,3.2
61,"lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new .","lathan and diggs have considerable personal glamour , and their screen rapport makes the old story seem new .",Successful,3.6
62,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,son of the bride may be a good half-hour too lengthy but comes riddled with a flattering sense of conundrum and tranquility .,Successful,3.0
63,"guaranteed to move anyone who ever shook , rattled , or rolled .","warranty to move anyone who ever shook , rattled , or rolled .",Successful,3.2
64,"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable .","you could say that it's slowing at times , you could say that a few of the personages acts in pathways that real people wouldn't , but one thing you couldn't say is that pseudonym betty is predictable .",Successful,2.8
65,hands down the year's most thought-provoking film . but it pays a price for its intricate intellectual gamesmanship .,hands down the year's most thought-provoking film . but it pays a price for its complicate intellectual gamesmanship .,Successful,3.2
66,"romanek keeps the film constantly taut . . . reflecting the character's instability with a metaphorical visual style and an unnerving , heartbeat-like score .","romanek keeps the movie constantly strained . . . reflecting the character's volatility with a metaphorical visual style and an unnerving , heartbeat-like score .",Successful,2.8
67,"with the film's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .","with the film's astounding ending , one realizes that we have a lengthy way to go before we altogether understand all the sexual permutations involved .",Successful,3.2
68,"a real story about real people living their lives concerned about the future of an elderly , mentally handicapped family member .","a actual story about real people living their lives concerned about the future of an elderly , psychologically handicaps family member .",Successful,3.2
69,two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,two generations within one family tests limitations in this clever and restricted coming-of-age dramas .,Successful,3.4
70,"the movie is full of fine performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife .","the movie is full of fined performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife .",Successful,3.2
71,"this is the kind of movie that used to be right at home at the saturday matinee , and it still is .","this is the sorts of movie that used to be right at home at the saturday matinee , and it still is .",Successful,3.6
72,". . . has freaky scenes where the crew wonder if they're ghosts imagining themselves as alive . it's a sly wink to the others without becoming a postmodern joke , made creepy by its "" men in a sardine can "" warped logic .",". . . has freaky scenes where the crew wonder if they're ghosts imagining themselves as alive . it's a duplicitous wink to the others without becomes a postmodern joke , made creepy by its "" males in a sardine can "" warped logic .",Successful,2.6
73,"if this movie were a book , it would be a page-turner , you can't wait to see what happens next .","if this movie were a book , it would be a page-turner , you can't await to see what happens next .",Successful,3.6
74,"this road movie gives you emotional whiplash , and you'll be glad you went along for the ride .","this routing movie affords you emotional whiplash , and you'll be glad you went along for the ride .",Successful,2.6
75,"frailty isn't as gory or explicit . but in its child-centered , claustrophobic context , it can be just as frightening and disturbing -- even punishing .","frailty isn't as gory or explicit . but in its child-centered , claustrophobic context , it can be just as frightening and worrisome -- even punishing .",Successful,3.4
76,"it uses an old-time formula , it's not terribly original and it's rather messy -- but you just have to love the big , dumb , happy movie my big fat greek wedding .","it uses an old-time formula , it's not terribly original and it's rather messy -- but you just have to adore the big , dumb , joyous movie my big fat greek wedding .",Successful,3.4
77,several degrees shy of the gross-out contests one expects from current teen fare .,several degree shy of the gross-out contest one waits from current teen fare .,Successful,3.2
78,about nowhere kids who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down version of the american dream .,about nowhere infantile who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down version of the american dream .,Successful,2.4
79,"light , silly , photographed with colour and depth , and rather a good time .","light , stupid , photographing with color and depth , and rather a good time .",Successful,3.0
80,"highlights are the terrific performances by christopher plummer , as the prime villain , and nathan lane as vincent crummles , the eccentric theater company manager .","underlined are the terrific performances by christopher plummer , as the prime villain , and nathan lane as vincent crummles , the eccentric theater company manager .",Successful,3.0
81,"the story wraps back around on itself in the kind of elegant symmetry that's rare in film today , but be warned : it's a slow slog to get there .","the story wraps back roundabout on itself in the sorts of elegant symmetry that's rare in film today , but be warned : it's a slowing slog to got there .",Successful,2.6
82,a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her .,a conclusive coming-of-age dramas about the arduous trip of a sensitive young girl through a serial of foster domicile and a fierce struggle to pull free from her dangerous and domineering mother's holds over her .,Successful,3.0
83,the disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on .,the disarming cornball ambience has a path of polluting the entire crowd as the film rolls on .,Successful,2.6
84,"using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead .","uses his audience as a figurative port-of-call , dong pulling his even-handed ideological ship to their dock for unloading , before he persists his longer journey still ahead .",Successful,3.2
85,""" the emperor's new clothes "" begins with a simple plan . . . . well , at least that's the plan .",""" the emperor's new clothes "" initiating with a simple plan . . . . well , at least that's the plan .",Successful,3.2
86,"still pretentious and filled with subtext , but entertaining enough at 'face value' to recommend to anyone looking for something different .","still pretentious and fills with subtext , but entertain enough at 'confronts value' to recommends to anyone looking for something assorted .",Successful,2.6
87,"ultimately , the message of trouble every day seems to be that all sexual desire disrupts life's stasis .","eventually , the messaging of difficulty every day seem to be that all sexual desiring disturbs life's stasis .",Successful,3.0
88,"a deceivingly simple film , one that grows in power in retrospect .","a deceivingly simple films , one that augmentation in power in hindsight .",Successful,2.6
89,"unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity .","unlike most adolescents flicks , swim takes its time to tell its story , castings primarily little-known performer in essentials roles , and introduces some intriguing ambiguity .",Successful,3.4
90,is it a total success ? no . is it something any true film addict will want to check out ? you bet .,is it a total succeeded ? no . is it something any true film addict will want to check out ? you wager .,Successful,3.0
91,boisterous and daft documentary .,boisterous and dolt documentary .,Successful,3.4
92,"biggie and tupac is so single-mindedly daring , it puts far more polished documentaries to shame .","biggie and tupac is so single-mindedly dares , it puts far more polished documentaries to shame .",Successful,3.0
93,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out as competent but unremarkable . . . and progressively augmentation into something of sizable power .,Successful,2.8
94,"it could change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .","it could change america , not only because it is full of necessary discussion points , but because it is so available that it makes complex politics intelligible to viewers searching for nothing but energetic entertainment .",Successful,3.6
95,"stevenson's performance is at once clueless and fiercely committed , a volatile combination .","stevenson's performance is at once clueless and vehemently committed , a volatile combination .",Successful,3.2
96,"chalk it up to my adoration for both de niro and murphy , but i had a pretty good time with this movie - despite its myriad flaws .","chalk it up to my adoration for both de niro and murphy , but i had a pretty good time with this movie - albeit its myriad failings .",Successful,3.2
97,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .","ms . fulford-wierzbicki is almost spooky in her sulky , calculates loli turn .",Successful,2.4
98,the experience of watching blobby old-school cgi animation in this superlarge format is just surreal enough to be diverting .,the experiences of watching blobby old-school cgi animate in this superlarge format is just surreal enough to be deflecting .,Successful,3.4
99,"if it's possible for a sequel to outshine the original , then sl2 does just that .","if it's doable for a sequel to surpass the initials , then sl2 does just that .",Successful,3.2
