,original,perturbed,type
779,"Stephen Miller (right) and Larry McKenney of Capitol Radiology listen as Trump speaks during a meeting at the White House last year. are not in 1950, we have to start limiting legal immigration. And completely stop illegal immigration.","Stephen Miller (right) and Larry McKenney of Capitol Radiology listen as Trump speaks during a meeting at the White House last year. are not in 1950, we have to begin limiting legal immigration. And completely halts illegal immigration.",Successful
71,"Med not a house/EU not adult day care camp for migrants seeking handouts or to profit from crime.Tunisia abusing #Italy EU, which has leverage bt lacks courage to use it. #Salvini must send messageðŸ‘‰either stop boats &amp; take back citizens or we bury you economically, esp. leaders","Med not a dwellings/EU not adults day care camp for migrants seek handouts or to profit from crime.Tunisia abusing #Italy EU, which has leverage bt lack bravery to utilizes it. #Salvini gotta dispatching messageðŸ‘‰either stop boats &amp; take back citizens or we bury you economically, esp. leaders",Successful
367,"Rep. agrees w-Sebastian Kurz regarding Turkey. Visa-free status or EU membership would be an absolute disaster.Erdogan a global tyrant who flooded Europe w-aggressive male migrants, helped destabilize Syria and supported Islamic extremists.#Visegrad","Rep. agrees w-Sebastian Kurz regarding Turkey. Visa-free status or EU membership would be an absolute calamity.Erdogan a worldwide tyrant who flooded Europe w-aggressive men migrant, helped destabilize Syria and supported Islamic extremists.#Visegrad",Successful
493,If Saudi Arabia doesn't back off @user will send in Canada's 2 Sea Kings and refuse to give all their illegal immigrants to Canada anymore hugs! #cdnpoli #canpoli #onpoli #abpoli #ableg #cpc #pcpo #ucp #lpc #SaudiArabia,If Saudi Arabia doesn't back off @user will send in Canada's 2 Sea Kings and refuse to give all their unlawful immigrant to Canada anymore hugs! #cdnpoli #canpoli #onpoli #abpoli #ableg #cpc #pcpo #ucp #lpc #SaudiArabia,Successful
840,Many thanks to @user @user @user for attending today’s anti-fascist demo in Newtownards. #HopeNotHate Refugees welcome fascists not! #NoPaseran,Many thanks to @user @user @user for attending today’s anti-fascist demo in Newtownards. #HopeNotHate Refugees welcoming fascists not! #NoPaseran,Successful
137,Fox News host: Lock Clinton up Get this CUNT Pirro off the air. She is a woman hating woman.,Fox News hosts: Locking Clinton up Get this CUNT Pirro off the air. She is a woman hated woman.,Successful
691,I used to ride with my father before he retired as a Phoenix police officer.  He worked in west Phoenix over night.  Drunk illegal immigrant drivers were everywhere.  One almost T-boned us at an intersection.  They pose great danger the the rest of us who do follow laws.  😡,I used to ride with my father before he retired as a Phoenix police officer.  He worked in west Phoenix over night.  Drunk illicit immigrant drivers were everywhere.  One almost T-boned us at an intersection.  They pose great danger the the rest of us who do follow laws.  😡,Successful
710,@user You can't call anyone a whore when you're taking up the ass from your father cunt.,@users You can't call anybody a whore when you're taking up the ass from your father cunt.,Successful
504,Guys cheat and are tried and hanged. Women cheat and its somehow their guys fault.,Dudes swindle and are attempted and hanged. Woman cheat and its somehow their blokes fault.,Successful
341,"@user Babe, I wanna thank you for having such insane anal scenes. Your scene from Slut Auditions #3 is my all-time fav !","@user Baby, I wanna thank you for having such insane anal scenes. Your scene from Slut Auditions #3 is my all-time fav !",Successful
941,@user please think carefully it is not about benifits it is about to many migrants ur already punishing our poor god will interven,@user please think carefully it is not about benifits it is about to numerous migrants ur already punishing our poor god will interven,Successful
765,@user Cobra didn’t do anything. Insecure drunken whore ass Lily basically lied & manipulated out of anger bc Jr didn’t want a slut!,@user Cobra didn’t do anything. Insecure drunkard harlot ass Lily basically lied & manipulated out of fury bc Jr didn’t wanna a hussy!,Successful
170,Imagine when all the EU migrants go home after #Brexit. No more baguettes or pizza. People in the UK will be reduced to just eating traditional UK foods. Like chicken Balti.,Imagines when all the EU migrants go home after #Brexit. No more baguettes or pizza. People in the UK will be diminished to just eating traditional UK foods. Like chicken Balti.,Successful
304,#ICE #IllegalAliens #Border #Immigration #BringBackOurBorders#Oakland Mayor #LibbySchaaf warned everyone in...,#ICE #IllegalAliens #Frontiers #Immigration #BringBackOurBorders#Oakland Mayor #LibbySchaaf warned everybody in...,Successful
828,"@user @user Muhhhhh privilege? Excuse me? IM OFFENDED!! HATE SPEECH!!! But of course you dont see the slippery slope.And yes, the made up arbitrary term hate speech is free speech. If you choose to get offended by shit, I suggest you get a backbone and grow the f*ck up you pussy.","@user @user Muhhhhh privilege? Excuse me? IM OFFENDED!! HATE SPEECH!!! But of course you dont see the slippery slope.And yep, the made up arbitrary term hate speech is free speech. If you pick to got offended by crap, I suggest you get a backbone and grows the f*ck up you pussy.",Successful
998,listen here dumb fucker you dont call rania “whore” and youre the only crazy bitch here😘 deactivate pls bc nobody c…,listen here dumb asshole you dont call rania “whore” and youre the only lunatic bitch here😘 deactivation pls bc nobody c…,Successful
252,@user Whore? Really? Why don't you have some respect for women you asshole!,@user Whore? Really? Why don't you have some respect for woman you asshole!,Successful
922,@user @user Actually I do think women should be reclaiming 'cunt'. It's past time.,@users @users Actually I do think women should be reclaiming 'cunt'. It's past time.,Successful
231,"Watch: Merkel's Germany is starting to look like Syria - immigrants set cars on fire ""just for fun"" - Free Speech Time - @user","Watch: Merkel's Germany is starting to look like Syria - immigrant set cars on fire ""just for fun"" - Free Speech Time - @user",Successful
547,@user After AAP coming to power influx of illegal migrants from Bangladesh to Delhi increased multi fold.Jhugis seen all around,@user After AAP coming to power influx of illegal migrants from Bangladesh to Delhi increase multi folding.Jhugis seen all about,Successful
10,"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.","Cory Booker and Kamala Harris competing for Most Hysterical Women at the Kavanaugh hearings, Coulter hilariously tweeted.And yup, liberals immediately got triggered on Twitter, saying her joke was insulting. To them we say, suck it up, snowflakes.",Successful
966,"Pro Tip- Always call skinny girls fat, they live that shit 🌚","Pro Tip- Perpetually call skinny girl fat, they live that crap 🌚",Successful
536,RT @user You're wearing yoga pants to show off your ass. Don't give me this bull shit 'they're comfy!' we all know the truth ladies #ASS #ASS #ASS,RT @user You're wearing yoga pants to show off your ass. Don't give me this bull shit 'they're comfy!' we all know the truth madams #ASS #ASS #ASS,Successful
96,"@user Actually that is any benefits which would make a Immigrant a ""Public Charge"" law on the books for over 100 years not entitled to hold a green card or become a citizen but #Dems wont enforce it !  That is why 73% of  Mexican and Central Amer","@users Actually that is any benefits which would make a Immigrants a ""Public Charge"" law on the books for over 100 years not entitled to hold a green card or become a citizen but #Dems wont enforcing it !  That is why 73% of  Mexican and Central Amer",Successful
727,"""I'm going to LARP as someone from a TV show because otherwise I might not get to engage in recreational infanticide"" said the well adjusted and not at all hysterical woman.","""I'm going to LARP as somebody from a TV show because otherwise I might not get to engaging in recreational infanticide"" said the well adjusted and not at all hysterical women.",Successful
295,@user Another incident in Germany will it be a drunk driver or another angry immigrant with issues innocent to proven Guilty there is so much goodwill before it becomes salt in the wounds of a giving Nation,@user Another incident in Germany will it be a drunkard driver or another furious immigrants with issues innocent to proved Guilty there is so much goodwill before it becomes salt in the wound of a giving Nations,Successful
512,German Interior Minister Slams Merkel and bans the entry of new migrants into Germany - Free Speech Time - @user,German Interior Minister Slams Merkel and bans the entrance of new migrants into Germany - Free Speech Time - @user,Successful
158,"Totally out of control. These people @user @user @user @user need to be reigned in. Hotel rooms for opportunist migrants, millions being spent trying to stuff the genie back in the bottle, no end or strategy in sight.","Totally out of control. These people @users @user @user @user needs to be reigned in. Hotel rooms for opportunist migrants, millions being spent trying to stuff the genie back in the bottle, no end or strategy in vision.",Successful
859,Watch: Hundreds Irish people took to the streets to protest against Islam and call to ban Islamic immigration - Free Speech Time - @user,Watch: Hundreds Irish people taken to the streets to protest against Islam and calling to bans Islamic immigration - Free Speech Time - @users,Successful
591,"Eric Cartman: How 'bout we sing, 'Kyle's Mom is a stupid bitch' in D Minor.","Eric Cartman: How 'bout we sing, 'Kyle's Mum is a silly bitch' in D Smaller.",Successful
57,"@user Dan, WAY too tough to choose between all the lying, deceitful corrupt losers representing Dems (& some GOP). The list is long & disgusting. Embarrassing that we pay these lying losers large salaries to corrupt our democracy.#MAGA #KAG #POTUS #Tr","@user Dan, MANNER too tough to choose between all the lying, deceitful corrupt losers representing Dems (& some GOP). The list is lengthy & disgusting. Embarrassing that we pay these lying losers large salaries to corrupt our democracy.#MAGA #KAG #POTUS #Tr",Successful
726,"off your left wing high horse @user Certainly not the average person's take on a ""refugee"". Remove the country shoppers, the opportunist migrants, those with criminal or terrorist ties, those with hidden wealth and who's left?","off your left wing high horse @user Certainly not the average person's take on a ""refugee"". Removing the country shoppers, the opportunist migrant, those with criminal or terrorist ties, those with hidden wealth and who's left?",Successful
26,"Yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…","Yes, women who protesting are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…",Successful
829,Identity cards 'would curb illegal immigration and prevent another Windrush',Identity cards 'would curb illegally immigration and prevent another Windrush',Successful
513,"@user You're the most dumb nigga in the history of dumb niggas, arguing with women like a lil bitch","@users You're the most dumb nigga in the history of dumb niggas, arguing with woman like a lil bitch",Successful
198,Never try to Holla at women who dissed you in his school I got called misogynistic egotistical whore monger damn bitch OK have a nice day 😂,Never try to Holla at woman who dissed you in his school I got called misogynistic egoistic whore monger damn bitch ALRIGHT have a nice day 😂,Successful
422,'Women for the first time are raising their voice and asking for peace' bitch Palestinian women have been protesting/marching for 69 years,'Woman for the first time are raising their voice and asking for peace' bitch Palestine woman have been protest/marching for 69 years,Successful
222,"Illegal Alien Awaiting Deportation For Child Rape, Now Caught Producing Child Porn","Illicit Alien Await Deportation For Child Rape, Now Caught Producing Child Porn",Successful
580,"Let’s me honest, Jews offer things and the white women are just skanks. Muslims gang rape and beat white women.","Letting’s me honest, Jews offering things and the white women are just skanks. Muslim gang rape and beats white women.",Successful
887,MN: SOMALI MUSLIM IMMIGRANTS Explain Why It's Acceptable To Kill Anyone Who Insults Mohammed [VIDEO] via @user we don't worship Mohammed &amp; Sharia! Don't like it? Go home or we will deport you!,MN: SOMALI MUSLIM IMMIGRANT Explain Why It's Acceptable To Murder Someone Who Insults Mohammed [VIDEO] via @user we don't worship Mohamad &amp; Sharia! Don't like it? Go home or we will deport you!,Successful
381,It will be such a shame to see @user qualifying for any tournament (including WC) with the help of immigrants. I can't even imagine 11 Africans/Whites representing India and me cheering them on. Both @user brother plays for Guinea national team. Plain crazy!,It will be such a shame to see @users qualify for any tournament (include WC) with the help of immigrants. I can't even suppose 11 African/Whites representing India and me cheering them on. Both @user brother plays for Guinea national team. Plain crazy!,Successful
