,original,perturbed,type
67,"@user @user It should foment anger. Only idiots open their borders to people who will NEVER assimilate. Majority of Black Africans coming into Europe are NOT refugees and had the money to pay for trip over, which is expensive.","@user @user It should foment anger. Only idiots inauguration their limite to people who will NEVER equate. Majority of Black Africans entered into Europe are NOT refugees and had the money to pay for trip over, which is expensive.",Successful
509,From A -list stars to budding actresses: The women who accuse Harvey Weinstein of rape and ... via @user,Per A -list fame to incipient actresses: The femmes who blame Nicholson Wasserman of rape and ... onto @user,Successful
82,@user you dumb cunt you trick 12 and 30 year old virgins into giving you money you fucking bitch. kys honest…,@user you dumb cunt you trick 12 and 30 year old virgins into giving you monies you fucking cunt. kys honest…,Successful
245,Left-wing Spanish Government deny 'mass' migration: 'Europe needs new blood',Left-wing Hispanic Vlado overrule 'mass' migration: 'Europeans require nova blood',Successful
644,refugees are welcome if trump like it or not   #ResistTrump,refugees are hails if skank like it or not   #ResistTrump,Successful
507,@user @user Women were never sacred. He's talking about the ancient trope of Virgin vs. Whore. #clueless,@user @user Women were never sacred. He's talking about the ancient trope of Virgins fifth. Whore. #whiny,Successful
813,"@user @user Yup I want #TonyPaul to song at The ""BIG BAD DON #TRUMP"" #RALLY IN #TEXAS..WITH #TEDCRUZ WHO IS THE SHARPEST MEANEST FAIREST LEGAL MIND AND #SENATOR IN THE #GOP #OCTOBER MAKE YUR RESERVATIONS, #RV SPOTS PLANE TICKETS 118,000 SEAT","@user @user Yup I want #TonyPaul to song at The ""BIG BAD DON #TRUMP"" #RALLY IN #ABILENE..WITH #TEDCRUZ WHO IS THE SHARPEST MEANEST FAIREST LEGAL MIND AND #SENATOR IN THE #GOP #OCTOBER MAKE YUR RESERVATIONS, #RV SPOTS PLANE TICKETS 118,000 SEAT",Successful
443,@user In fact both Centre/States need to hound out all illegal immigrants &amp;deport them immediately to their Country.,@user In fact both Centre/States need to hound out all illicit evacuees &amp;deport them immediately to their Nations.,Successful
844,this time last year i was in a bar in nyc and a bald white guy tried to hit on me by speaking norwegian and when it didnt work he got increasingly hostile and said the reason i wasnt impressed by his language skills was because im an immigrant and not a real swede,this scheduling last enjoyment i was in a bars in nyc and a batty white freund tried to hit on me by schmooze norwegian and when it dont work he come again antagonistic and reported the reason i shes rocked by his tongue capacity was already lam an immigrant and not a actual swede,Successful
23,An Honest Article About Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle...,An Fairness Rule For Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle...,Successful
342,@user And that's only the women that have posted it.. I wrote about the 'Not All Men' culture as well -,@user And that's only the women that have appropriated it.. me literary about the 'Not Aii Men' civilization as well -,Successful
308,Why do women use them being on their period as a excuse to be a cunt? You had it since you were 13 you can’t control yourself?,Why do dame use them being on their period as a excuse to be a cunt? You had it since you were 13 you can’t control yourself?,Successful
610,"It's worth to keep an eye on the reactions of the refugees who are already on the islands and are not included in this change. Camps like #Moria, on Lesvos, are extremely volatile and protests/riots have happened for smaller issues in the past. We can expect some sort of reaction","It's worth to conservation an eye on the backlash of the refugees who are already on the islands and are not introduced in this transmutation. Encampment like #Moria, on Lesvos, are inordinately flimsy and protests/riots be happened for less problema in the immemorial. We can sufferance some species of reacted",Successful
903,@user @user @user here's my point you dog of assad son of whore father of slut,@user @user @user here's my point you dog of asad thread of whore pop of slut,Successful
220,allies 10 year old brother is calling me a cunt and a bitch bc I asked him a question💀,allied 10 yr older brother is ask me a pussy and a bitch cb me asks him a question💀,Successful
835,Like I'm so glad you guys are standing with skales against that boy with the gutter mouth and pot hole face .,Like I'm so glad you guys are standing with skales against that males with the gutter mouth and pot hole face .,Successful
602,"At number 4, #Burundi-an refugees are among the most neglected in the world. We are the invisible people...","At number 4, #Burundi-an refugees are among the most defection in the world. Our are the imperceptible sexes...",Successful
648,"@user , my community stands #WithRefugees! Show that #AmericaWelcomes by supporting U.S. refugee resettlement! #RefugeesWelcome","@user , my populations stands #WithRefugees! Show that #AmericaWelcomes by aids yoo.seconds. refugee relocate! #RefugeesWelcome",Successful
201,"""The church's position on immigration will define its witness to a hurt and broken world."" - Welcoming the Stranger. This updated book is written by World Relief's Matthew Soerens and Jenny Yang. Find your copy today!","""The church's position on immigration will definition its testifies to a malevolent and vandalized mundos."" - Welcoming the Foreign. These modern bible is deed by Global Relief's Matthews Soerens and Lindsey Upton. Detection your reproducing domingos!",Successful
156,"Illegal immigration drives up real estate prices, widens wealth-gaps, reduces high-tech investment, increases state and local tax burdens, hurts kids’ schools and college education, pushes Americans away from high-tech jobs","Secret immigration drives up real estate prices, widens wealth-gaps, reduces high-tech investment, increases state and local tax burdens, hurts kids’ schools and college education, pushes Americans away from high-tech jobs",Successful
122,Effects of Third World Immigration into Canada via @user,Influencing of Third World Migrants into Nationals into @abusers,Successful
911,"These savages invade Our Country, disrupt cities, turn many into shitholes like where they came from and WE THE PEOPLE are paying for this SHIT.  How about taking or Our OWN Citizens, Veterans and other AMERICANS in need?  To HELL with these ungrateful idiots; #SendThemBack","These injuns aggressor Our Country, intervening cities, turn many into ragheads like where they came from and WE THE PEOPLE are paying for this CHRIST.  Why about elects or Our OWN Citizens, Veterans and other WE in need?  To HELL with these ungrateful nincompoops; #SendThemBack",Successful
671,"The patients I can't help, the plight of the impoverished, the treatment of immigrant children, the assaults on science, and the profiteers who cash in on the suffering enrage me. Empathy shouldn't be a painful condition.","The sicker me can't relief, the embarrassment of the impoverished, the processing of emigrate brats, the invasion on sciences, and the grifters who fluid in on the woe enrage me. Pity shouldn't get a irritating diseases.",Successful
303,Was getting elbowed by a triple chinned cunt with nails like a woman ont train Let a smelly fart out before moving…,Was getting elbowed by a triple chinned dickhead with nails like a mesdames ont train Let a smelly fart out before moving…,Successful
829,Identity cards 'would curb illegal immigration and prevent another Windrush',Branding cards 'would curb illegal immigration and prevent another Windrush',Successful
575,"When a girl just stops talking to you, don't sweat it guys you did nothing wrong. Girls are just stupid and don't ever know what they want.","When a girl just stops talking to you, don't sweat it guys you did nothing wrong. Dames are just stupid and don't ever know what they want.",Successful
37,"What were they planning to do with the immigrant children they kidnapped? Slavery, sex traffic, organ harvesting?","What were they planning to do with the immigrant brats they hijacker? Slaves, sex traffic, organ harvesting?",Successful
819,It's Not Just The Eyes of Texas Are Upon U @user It's The Country Consider Name Change 2 @user Shame On U! Perspective | ‘They have nothing’: How a $20 tip cost an immigrant her Dulles job and severed a lifeline to Sierra Leone,It's Not Just The Gazes of Texas Are Upon U @user It's The Country Consider Name Change 2 @user Shame On U! Lookout | ‘They have nothing’: How a $20 punta fee an immigrant her Dulles jobs and severed a drifters to Sierra Sierra,Successful
887,MN: SOMALI MUSLIM IMMIGRANTS Explain Why It's Acceptable To Kill Anyone Who Insults Mohammed [VIDEO] via @user we don't worship Mohammed &amp; Sharia! Don't like it? Go home or we will deport you!,MN: SOMALI MUSLIM EVACUEES Explain Why It's Acceptable To Kill Anyone Who Insults Mohammed [VIDEO] via @user we don't worship Mohammed &amp; Sharia! Don't like it? Go home or we will deport you!,Successful
502,They native Americans you no good hill billy immigrant,They native Americans you no good hillsides baily immigrant,Successful
150,"@user I know you do, slut","@user I know you do, trawling",Successful
68,This is what Trump supporters call humane smh,These is what Bitch lovers invited humans smh,Successful
538,"South Koreans do not want Muslim refugees, say their Prez should be more like Trump via @user Smart move,they are invaders not refugees...","South Koreans do not want Quran refugees, say their Prez should be more like Trump via @user Smart move,they are assailants not refugees...",Successful
35,I've been called a son of a whore and a cunt today already. It's not even 1 yet,I've been phoned a petit of a whore and a cunt today already. It's not even 1 yet,Successful
865,"@user @user No room for anyone illegal. Color or wealth is not the criteria, you stupid bitch.","@user @user No room for anyone illegal. Color or wealth is not the criteria, you stupid twat.",Successful
997,"@user 3rd, you are a fuckin BIRD you dumb bitch so what anytime you got drunk and had sex it was rape?! I'm sick of you feminazis","@user 3rd, you are a fuckin BIRD you dumb prick so what sometime you got drunk and had sex it was offences?! I'm pathological of you feminazis",Successful
879,@user Tells #Trump Not to give Immigrants DNA test to make sure their the kids parents just hand them over to Child Trafficers like Obama #MAGA #RedNationRising  #FridayMotivation via @user,@user Tells #Trump Not to give Immigrants DNA test to make confident their the kids parents just hand them over to Child Trafficers like Obama #MAGA #RedNationRising  #FridayMotivation via @user,Successful
118,Iraqi Immigrant Accused Of Critically Wounding Colorado Cop Evaded Deportation Despite Criminal Record,Kurd Migrants Unsub For Powerfully Wounding Arizona Sheriffs Ducking Banishment While Criminals Roster,Successful
691,I used to ride with my father before he retired as a Phoenix police officer.  He worked in west Phoenix over night.  Drunk illegal immigrant drivers were everywhere.  One almost T-boned us at an intersection.  They pose great danger the the rest of us who do follow laws.  😡,I used to ride with my father before he retired as a Phoenix police officer.  He worked in west Phoenix over night.  Drunk illegal migrated drivers were everywhere.  One almost T-boned us at an intersection.  They pose great danger the the rest of us who do follow laws.  😡,Successful
41,"@user immigration on mass in Europe Kills our Culture our languages and over stretches our own resources such as Hospitals ,Schools ,now Italy ,Greece , etc , Your right send them back home but please do not separate families Islamic countries","@user evacuees on mass in Europe Kills our Culture our languages and over stretches our own resources such as Hospitals ,Schools ,now Italy ,Greece , etc , Your right send them back home but please do not separate families Islamists countries",Successful
874,@user Thats a real low blow to hysterical women.,@user Thats a real low blow to hysterical consort.,Successful
305,my neighbour is such a cunt i hope someone murders that stupid bitch. preferably tortures her first as well,my neighbour is such a cunt i hope someone murdered that stupid prick. preferably tortures her first as well,Successful
417,Build the WALL!                    Undocumented immigrant arrested in connection with rape of 11-year-old girl:https://t.co/i5zGw9VKGe,Build the WALL!                    Undocumented immigrant stopped in fasten with rape of 11-year-old girl:https://t.co/i5zGw9VKGe,Successful
878,The awkward moment when Lexus is showing you how much crack fits in the cup holders...,Both embarrassing dating when Lexus is proves you how much crack fits in the trophy landlady...,Successful
1,A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,A mesdames who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,Successful
371,This stupid dick head didn’t say thank you when I held the door for him going into 7/11 so I pulled that shit close in his face when I left,This stupid dick chairwoman didn’t say thank you when I held the door for him going into 7/11 instead I pulled that shit close in his braved when I left,Successful
381,It will be such a shame to see @user qualifying for any tournament (including WC) with the help of immigrants. I can't even imagine 11 Africans/Whites representing India and me cheering them on. Both @user brother plays for Guinea national team. Plain crazy!,It will be such a shame to see @user qualifying for any tournament (including WC) with the help of emigrants. I can't even imagine 11 Africans/Whites representing India and me cheering them on. Both @user brother plays for Guinea national team. Plain crazy!,Successful
594,ugly skank bitch >:(,ugly skank bunghole >:(,Successful
249,"RT @user After three years of separation, a young Syrian refugee hugs his mother in Germany. The picture says it all. #familyreunification","TCH @user After two ageing of dividing, a childish Assyrian refugees smooch his mamma in Germany. The landscaping claimed it all. #familyreunification",Successful
656,@user If YOU fuck the rapist then its not rape.,@user If YOU accursed the rapist then its not rape.,Successful
663,@user Yorkshire woman who taught a man #Consent while he was #Rape -ing her launches 1st real anti - #Rape…,@user Yorkshire woman who taught a man #Consent while he was #Molested -ing her starts 1st real enmity - #Rape…,Successful
788,2015! OLD BUT GOOD ENOUGH! 62% of Illegal Immigrant Households on Welfare | Steven Camarota and Ste... via @user,2015! OLD BUT GOOD ENOUGH! 62% of Illegal Colonists Overhere on Welfare | Steven Camarota and Ste... via @user,Successful
928,Women are stupid. They get cheated on and approach and fight the side chic. Bitch who cheated on you? Who? Stupidity is unbelievable.,Broads are stupid. They get cheated on and approach and fight the side chic. Bitch who cheated on you? Who? Stupidity is unbelievable.,Successful
922,@user @user Actually I do think women should be reclaiming 'cunt'. It's past time.,@user @user Actually I do think women cannot be reclaiming 'cunt'. It's past time.,Successful
791,Bloody immigrants like uk say you must obide the law of the country should be put in prison until the immigrant pays the fine,Bloody immigrated like uk say you must obide the law of the country should be put in prison until the immigrant pays the fine,Successful
588,"@user “Can you think of a place that has been improved by mass immigration or the movements of large numbers of refugees?”   “Not one...the immigration policies in Europe are a disaster, you’re destroying Europe, you’re destroying the cultureâ","@user “Can you think of a place that has been improved by mass immigration or the movements of large numbers of refugees?”   “Not one...the shrike policies in Europe are a disaster, you’re trashing European, you’re destroying the cultureâ",Successful
209,"He is in and out of jail. He's a bum , he a pussy bitch ! He just ain't shit ! I pray his next child he do wayyyyy better with fr.","He is in and out of jail. He's a bum , he a pussy bitch ! He just ain't shit ! I exhort his next child he do wayyyyy more with fr.",Successful
311,@user @user @user @user @user So you cant stand your own kind either you gotta breed with something else.,@user @user @user @user @user Both you cant stand your single kind either you gotta breed with something else.,Successful
536,RT @user You're wearing yoga pants to show off your ass. Don't give me this bull shit 'they're comfy!' we all know the truth ladies #ASS #ASS #ASS,RT @user You're wearing yoga pants to show off your ass. Don't give me this bull shit 'they're comfy!' we all know the truth mesdames #ASS #ASS #ASS,Successful
582,your girlfriend a major snorter but that bitch ain't worth a quarter 😬,your dame a major snorter but that prick ain't worth a quarter 😬,Successful
859,Watch: Hundreds Irish people took to the streets to protest against Islam and call to ban Islamic immigration - Free Speech Time - @user,Watch: Hundreds Irish people took to the streets to protest against Islam and call to ban Islamic migratory - Free Speech Time - @user,Successful
221,@user Fucking cunt bitch has learned nothing from the election,@user Fucking cunt puta has learned nothing from the election,Successful
441,Naw depends if he rape fam that's a dub if its a random bitch he a whole dicchead but i stand by em right or wrong,Naw depends if he rape fam that's a dub if its a random fuckhead he a whole dicchead but i stand by em right or wrong,Successful
457,"Today my daughter got her period. I guess It's time to throw her away and get a new one, right? LOL Fuck her, stupid bitch kid. I hate my !!","Today my daughter got her period. I guess It's time to throw her away and get a new one, right? LOL Shagged her, stupid bugger kid. I hate my !!",Successful
917,If rape is real why aren't more people reporting it? Just another feminist lie.;,If rape is real why aren't more people reporting it? Just another anarchist lie.;,Successful
111,"@user Then don't be a whore and open your legs for everyone, and not fuck everyone you want, and magically, you'll prevent getting an STD.","@user Then don't be a trollop and commences your feet for everyone, and not fuck everyone you want, and magically, you'll prevent getting an STDS.",Successful
26,"Yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…","Yes, women who protesting are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…",Successful
577,"#BeBestMyAss This  week - I want my supporters to wear shorts or skirts that read, ""Be  Best"" on the back - synonym for ""Be Best My Ass!"" Let's be ridiculous (film your ass shaking) @user lacks sensitivity towards immigrant children! Photo Credit: theGrio","#BeBestMyAss This  porridge - I want my supporters to wear shorts or skirts that reading, ""Be  Bigger"" on the back - synonym for ""Be Best My Ass!"" Let's be ridiculous (film your ass shaking) @user lacks sensitivity towards emigrant brats! Picture Credit: theGrio",Successful
363,Good Morning Canada 🇨🇦 We will not let anyone harm you,Useful Walrus Canadians 🇨🇦 We will not license anyone harm you,Successful
873,"When he wraps 1 hand around your throat, puts the other betwn your legs &; whispers 'this pussy is mine' in your ear","When he wraps 1 hand around your throat, puts the other betwn your legs &; whispers 'this puss is mine' in your ear",Successful
498,Mr Shorter - scum bag posting things like this -FADEC ON LSE YOU ARE A CUNT - SON OF A WHORE #hnr,Sire Shorter - scum bag posting things like this -FADEC ON LSE YOU ARE A CUNT - WIRED OF A WHORE #hnr,Successful
79,@user You are the sloppy queen of sucking cock,@user You are the sloppy reyna of sucking cock,Successful
77,"Fuck you, you hoe I don’t want you back","Fuck you, you brotha I don’t want you back",Successful
71,"Med not a house/EU not adult day care camp for migrants seeking handouts or to profit from crime.Tunisia abusing #Italy EU, which has leverage bt lacks courage to use it. #Salvini must send messageðŸ‘‰either stop boats &amp; take back citizens or we bury you economically, esp. leaders","Med not a house/EU not adult day care camp for migrants seeking handouts or to profit from crime.Tunisia abusing #Italy EU, which has leverage bt lacks courage to use it. #Salvini must send messageðŸ‘‰either stop boats &amp; xiong back citizens or we bury you economically, pesetas. leaders",Successful
559,"More rapes in Halifax by Muslim migrants, as rape culture invades our high-trust society","More rapes in Halifax by Muslim shrike, as rape culture foray our high-trust society",Successful
387,Posted a tweet on one of O'Reilly's today and it appears I unleashed the psychos. Been called a Russian...cunt...bitch and whore already.,Located a twitter on one of O'Reilly's dates and it showed I liberated the freak. Ai solicited a Ukrainian...hussy...bitch and whore already.,Successful
439,"RT @user ""You too skinny, imma hurt you"" Girl  if you don't shut the fuck up and ride this dick. Imma be aight. I got Obamacare.""","RT @user ""You too skinny, imma hurt you"" Broads  if you don't shut the fuck up and ride this dick. Imma be aight. I got Obamacare.""",Successful
