,original,perturbed,type
280,It's the same Panera food you've had before.  I like the other ones better as they are often  faster at preparing food than this one.  That said the food is fine and the staff is nice enough.\n\nThey have warm cookies for $2.00.  That is a nice feature.,It's the same Panera food you've had before.  I like the other ones better as they are often  fastest at preparing food than this one.  That said the food is fine and the staff is nice enough.\n\nThey have warm cookies for $2.00.  That is a nice feature.,Successful
308,"Went on a Saturday, 2 hour wait. food is good, I got some seafood gumbo to go and I won't do that again. Seemed like it didn't have any seafood in it.","Went on a Saturday, 2 hour wait. food is good, I get some seafood gumbo to go and I won't do that again. Seemed like it didn't have any seafood in it.",Successful
579,"I've had a wide range of experiences here.  Let's just say, when I first moved here, one of the employees gave me poor advice and ended up totally screwing up my title.  It's been a tremendous ordeal to get it fixed.  Another employee tried to help me fix it and screwed that up too.  Now I'm working with a third person who seems very competent and committed to helping me solve this problem, but even she is like \""""I can't believe those other people told you to do that....they made this so much harder than it needed to be.\""""  My thoughts exactly.\n\nWork with Barb, if you can.  She knows her stuff.  I don't quite trust anybody else to help me properly.  Also they're only open from 830-4 (or is it 430?) so you pretty much have to go before work, or on Saturday.  And I will be going in tomorrow at 830 until my car title saga finally comes to its conclusion....\n\nAlso, parking is free in their lot.  And if you are a AAA member, I think your fees are lower, or something like that.  I do have AAA, so it makes sense for me to come here - I can't say what the experience is like for non members.","I've had a wide range of experiences here.  Let's just say, when I first moved here, one of the employees gave me poor advice and ended up utterly screwing up my title.  It's been a tremendous ordeal to get it fixed.  Another employee tried to help me fix it and screwed that up too.  Now I'm working with a third person who seems very competent and committed to helping me solved this problem, but even she is like \""""I can't believe those other people told you to do that....they made this so much harder than it needed to be.\""""  My idea exactly.\n\nWork with Barb, if you can.  She knows her stuff.  I don't quite trust anybody else to assists me adequately.  Moreover they're only opens from 830-4 (or is it 430?) so you pretty much have to go before working, or on Saturday.  And I will be going in tomorrow at 830 until my car title saga finally comes to its conclusion....\n\nAlso, parking is free in their lot.  And if you are a AAA member, I think your fees are lower, or something like that.  I do have AAA, so it makes sense for me to come here - I can't say what the experience is like for non members.",Successful
615,"Compared to other Whole Foods locations, this one is tiny! For comparison, the Whole Foods in Las Vegas must be at least three times the size. Still, it's nice to have and it is pretty decent overall albeit pricey.","Compares to other Whole Foods places, this one is tiny! For comparisons, the Whole Foods in Las Vegas must be at least three times the size. Still, it's nice to have and it is pretty decent total though pricey.",Successful
549,"That is a great cat they have working, but they only have 3 brands of cat food, all of them expensive.  Funny enough though not as expensive as what I was looking for.  They followed me around like I was going to stuff my pockets and that just ruined the whole mom and pop thing.","That is a great cat they have work, but they only have 3 brand of cat eating, all of them expensive.  Funny enough though not as expensive as what I was searching for.  They followed me about like I was going to stuff my pockets and that just wrecked the totality mum and pop thing.",Successful
156,"Horrible beer, horrible service, horrible menu","Hideous beer, terrifying servicing, terrifying menus",Successful
162,"First off, I will say that I just moved here from California and was a big patron at the Rockbottom in Long Beach. I came to the Homestead location last night eager to see the beer at this location.\n\nNow, Rockbottom is a chain brewery, so a lot was the same... the menu, the food prices (yet beer is cheaper, and I am fine with that). I have always found their food to be pricey, but they use excellent ingredients and it has always been tasty and filling so I am fine with that. The food here was just as good as the Long Beach location, so I have no problem with the chef at all.\n\nService was good, our waitress was very friendly and helpful. I wish that they had asked us if we wanted to sit in the bar since happy hour was still going, but that isn't a big thing. Went to the bar to get a drink and had to wait awhile to get the bartender's attention, but he was very friendly and I got a nice welcome from him and others at the bar when they learned I had just moved here... I really enjoyed that.\n\nBeer: We got the beer sampler to try the whole list... and, well... I found the dark beers a bit lacking in comparison. The light beer and the wheat were amazing, very impressed. The pale was ok, as was the velvet pale that was one of the specials of the night... but both were way too citrusy. The Uppity IPA was very good... I don't usually like IPAs because the hops overpowers all flavor but the brewer had a good balance. Still, couldn't do a whole glass. I felt the Imperial Stout had a bitter burned taste that was overpowering... I almost want to say the batch had too much chocolate malt in it (not ice cream malt, for the non-homebrewers). The brown and amber were decent, but bland. I ended up getting an actual glass of the light beer and was able to finish it all without forcing it.... one point up on Long Beach, who had a good light but the aftertaste got to you before the glass was empty.\n\nI REALLY wanted to try the Das Gut Dopplebock, but they were out. Looks like they will have it in bottles to go soon so I hope I can catch that. Also want to try the Snow Moon Belgian.\n\nVerdict: While I was not too impressed with the dark beers, I found the lighter ones very good and I look forward to trying the other seasonal beers. It is a good hour drive south to get there, so I won't be going too often, but I will be back.","First off, I will say that I just moved here from California and was a big patron at the Rockbottom in Long Beach. I came to the Homestead location last night eager to see the beer at this location.\n\nNow, Rockbottom is a chain brewery, so a lot was the same... the menu, the food costing (yet beer is cheaper, and I am fine with that). I have always found their food to be pricey, but they use excellent ingredients and it has always been tasty and filling so I am fine with that. The food here was just as good as the Long Beach location, so I have no problem with the chef at all.\n\nService was good, our waitress was very friendly and helpful. I wish that they had asked us if we wanted to sit in the bar since happy hour was still going, but that isn't a big thing. Went to the bar to get a drink and had to wait awhile to get the bartender's attention, but he was very friendly and I got a nice welcome from him and others at the bar when they learned I had just moved here... I really enjoyed that.\n\nBeer: We got the beer sampler to try the whole list... and, well... I found the dark beers a bit lacking in comparisons. The light beer and the wheat were surprising, very impressed. The pale was ok, as was the velvet pale that was one of the specials of the night... but both were way too citrusy. The Uppity IPA was very good... I don't usually like IPAs because the hops overpowers all flavor but the brewer had a good balances. Still, couldn't do a whole glass. I felt the Imperial Stout had a bitter burned taste that was overpowering... I almost want to say the batch had too much chocolate malt in it (not ice cream malt, for the non-homebrewers). The brown and amber were decent, but bland. I ended up getting an actual glass of the light beer and was able to finish it all without forcing it.... one point up on Long Beach, who had a good light but the aftertaste got to you before the glass was empty.\n\nI REALLY wanted to try the Das Gut Dopplebock, but they were out. Looks like they will have it in bottles to go soon so I hope I can catch that. Also wants to try the Snow Moon Belgian.\n\nVerdict: Although I was not too impressed with the dark beers, I discovered the lighter ones very good and I look forward to trying the other seasonal beers. It is a good hour drive south to get there, so I won't be going too often, but I will be back.",Successful
658,"Excellent place for brunch.  For $22, I had a mimosa; cheese, fruit, and baguette slices; a waffle with berries and whipped cream; two pieces of bacon; and a muffin, scone, and biscuit with honey butter from the bread basket.  Service was pretty good even though the restaurant was fairly busy.  Reservations available through Open Table.  This is definitely a special occasion brunch, but it is surprisingly affordable.","Wondrous place for brunch.  For $22, I had a mimosa; cheese, fruit, and baguette slices; a waffle with berries and whipped cream; two pieces of bacon; and a muffin, scone, and biscuit with honey butter from the bread basket.  Service was pretty good even though the restaurant was relatively busy.  Reservation available through Open Table.  This is definitely a special occasion brunch, but it is interestingly affordable.",Successful
619,"Great selection of vegan, vegetarian, raw milk, prepared foods, bakery, cheeses and aged beef. Very expensive, trader Joe's and Market district come to mind as a cheaper alternative. Parking at this particular store is a nightmare.","Great selection of vegan, vegetarian, raw milk, prepared foods, bakery, cheeses and aged beef. Very expensive, trader Joe's and Market district come to mind as a cheaper alternative. Parking at this particular stores is a nightmare.",Successful
360,"Excellent pizza - although the mushrooms were from a can. But the crust , sauce and rest of toppings on the Sicilian pizza were delicious. Nice family friendly","Splendid pizza - though the mushrooms were from a can. But the crust , sauce and remainder of linings on the Sicilian pizza were yummy. Nice family amicable",Successful
704,"Visited for brunch again on a rainy winter Sunday.  I reaffirm my previous comments.\n\nGood service.  Generally great food (the breakfast pastries, my breakfast polenta and the wife's scallops were fantastic), however inconsistencies still prevent the 5-star praise.\n\nWhile the coffee is great, the crud in the creamer and a dirty spoon to start the meal off were not.  In addition, I may have had one of the most bi-polar plates of my life...  braised lamb on grilled sourdough.  The lamb itself was kiss-yo-mama good...  seriously, this meat is a fork cutting affair.  However, the bread itself seemed stale and completely took away from the star in the spot light.\n\nAs with Eleven, you can't go wrong with the brunch pre-fix, so be prepared to need a wheel barrel to get yourself out the door!","Visited for brunch again on a rainy winter Sunday.  I reconfirm my previously commentary.\n\nGood service.  Generally great eating (the breakfast pastries, my breakfast polenta and the wife's scallops were beautiful), however inconsistencies still forestall the 5-star praise.\n\nWhile the coffee is great, the crud in the creamer and a dirty spoon to start the meal off were not.  In addition, I may have had one of the most bi-polar plates of my life...  braised lamb on grilled sourdough.  The lamb itself was kiss-yo-mama good...  gravely, this meat is a fork cutting affair.  However, the bread itself seemed stale and completely taken away from the star in the spot light.\n\nAs with Eleven, you can't go misguided with the brunch pre-fix, so be prepared to need a wheel barrel to get yourself out the door!",Successful
87,"If there was ever a \""""get your coffee and go\"""" Starbucks, this is it. Right in the center of the Waterfront, this Starbucks has no sofa, comfy chairs, only table seating. I love the baristas here, But I don't like the location of the building.","If there was ever a \""""get your coffee and go\"""" Starbucks, this is it. Right in the centering of the Waterfront, this Starbucks has no couch, cozy presiding, only tables seats. I adore the baristas here, But I don't like the placements of the building.",Successful
390,"Love the store. Great stuff, High price. Buyer BEWARE of the RUDE cashier SYLVIA, extremely unpleasant, unwilling to help and always with NEGATIVE attitude. She needs customer service training....Someone please tell her to stop complaining about other customers or employees....Cashier that does window display is always kind, friendly and helpful.","Love the store. Great stuff, High pricing. Purchaser BEWARE of the DISCOURTEOUS cashier SYLVIA, hugely unpleasant, loath to aiding and perpetually with ADVERSE attitude. She needs customer service training....Anybody please tell her to stop complaining about other customer or staffs....Cashier that does window displays is always kind, friendly and helpful.",Successful
