,original,perturbed,type
335,@user i feel attacked 😂,@eaters i brainchild assailed 😂,Successful
544,@user Always allege that she is a poor girl and with tenacity and efforts win over this position for future congresswoman ...if she win.,@user Always dunning that she is a poor girl and with tenacity and tries win over this position for future congresswoman ...if she win.,Successful
551,@user @user @user I hope @user Ask @user about the deep state and swamp creatures undermining president’s Agendas and latest @user video,@user @user @user I hope @user Call @user about the gravely country and swamp creatures eroding president’s Pog and ultimate @eaters tapes,Successful
466,"@user @user @user You are hilarious!  You keep defending that woman.  I have watched her for over 20 years and she is a liar and a hypocrite and an obstructionist.  I like my crumbs"""".  She needs people like you to support her though.""""","@user @user @user Thyself are hilarity!  You kept defending that woman.  I have encountered her for over 20 years and she is a trickery and a moralist and an obstructionist.  I like my crumbs"""".  She compelled compatriots adore you to support her though.""""",Successful
647,@user @user Because 45% of Americans are too lazy to vote.  Non-voters skew liberal. And too many liberals who do vote throw their vote away on 3rd party losers. Next question?,@user @user Because 45% of Americans are too shiftless to vote.  Non-voters skew liberal. And too many liberals who do vote throw their vote away on 3rd party losers. Next question?,Successful
490,@user @user she is not related to him its weird lmao,@eaters @consumer she is not obligated to him its weirdo lmao,Successful
582,@user @user @user @user @user He lost his virginity This process has been turned into a clown show Protestors democrats paid for was unethical There hate shows in everyway TRUMP denounced Natzi group  and bad on both sides which is true But democrats refuse to denounce Antifa a democratic domestic terror-,@user @user @user @user @user He lost his virginity This process has been turned into a nitwit show Protestors democrats paid for was unethical There hate shows in everyway TRUMP denounced Natzi group  and bad on both sides which is true But democrats refuse to denounce Antifa a democratic domestic terror-,Successful
186,@user “Antifa is bad” how hard is it to say that?,@eaters “Antifa is shitty” how problematic is it to speak that?,Successful
106,@user @user says social housing is good and in the same breath talks of climbing the ladder.   Hypocrisy incarnate from a failed lying politician lining her party's pockets with tax money for real estate builders @user building their failure of lies,@user @user says social housing is good and in the same breath talks of climbing the ladder.   Hypocritical incarnate from a failed reside policing lining her party's pockets with tax money for real estate builders @user building their failure of lies,Successful
741,@user So much respect for that man wherever he is.🔴⚪️,@user Too muy concerning for that virile wherever he is.🔴⚪️,Successful
461,@user She has no record on gun control. No thanks.,@user Herself has no minutes on hotties control. No merci.,Successful
968,@user Ohh shit 😦,@user Ohh merde 😦,Successful
102,@user Crazy freaking liberals,@user Madmen freaking moderates,Successful
132,The “Law and Order” president really hates law enforcement! Lol #MAGA,The “Law and Order” president really resented law enforcement! Lol #MAGA,Successful
210,@user    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.,@eaters    Thyself distrustful everyone about Josh Gordon the ultimate 4 mois on a dili rudiments.  I'm assuring you are as dumbfounded as I am of what sweated domingos.,Successful
962,@user @user @user @user HE IS THE POORLY EDUCATED!,@user @user @user @user HE LIES DU POORLY SKILLED!,Successful
945,@user @user @user Conservatives wont whitewash the accusations...both sides will be heard! In private and again in public if necessary...let THEM hash out the actual significance of an event 37years ago between a 17yr old BOY and a 15yr old GIRL.. I would go so far as to say let each cross-examine,@user @user @user Conservatives wont whitewash the accusations...both flanks gonna sunt listens! In private and again in governmental if indispensable...let ONES hash out the hardheaded germane of an manifestations 37years again between a 17yr old BOY and a 15yr old GIRL.. I would wiggle so far as to say let every cross-examine,Successful
967,@user @user @user @user Yeah bitch we put him back in and beat your sorry asses the bears SUCK!! BLEW A 20-0 LEAD LMAOOOO,@user @user @user @user Yeah blackguard we put him back in and beat your sorry cul the bears SIGH!! BLEW A 20-0 LEAD LMAOOOO,Successful
882,@user thought they scored 69 points... sad,@user brainchild they embossed 69 things... pathetic,Successful
929,"@user And Sarah's story, egad! The producer who's asked if he could fall for a nymphet and responds absolutely!""""""""","@user And Sarah's epic, aaaagh! The grower who's poser if he could fall for a nymphet and behaves absolutely!""""""""",Successful
9,@user Here's a link to my channel with a plethora of topics to peruse:,@eaters Here's a lier to my ducts with a hoards of subjected to poring:,Successful
711,"@user You are the one that left on his own. I'm not your daddy to tell you to stay, even if I do, you won't anyway.""""  There's just no in hell way that Cerberus would ever be soft to Dante and respect him right? Two can play at this game.""""","@user You are the one that forgot on his proprietary. I'm not your daddy to tell you to repose, even if I do, you won't anyway.""""  There's just no in hell chemin that Governess would ever be soft to Dante and respect him bah? Two can play at this gambler.""""",Successful
489,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Thought I'd share a boob picture too!,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Thinks I'd bartering a titty scene too!,Successful
892,@user Calling out the #Islamophobic party of Britain @user to take #Islamophobia seriously. @user MUST investigate the likes of @user @user @user @user @user,@user Calling out the #Islamophobic hand of Ying @eaters to xiong #Islamophobia dangerously. @user MUST snooping the lover of @username @username @user @eaters @user,Successful
527,@user @user @user @user eto ba ang hindi corrupt? you are so naive if you think that this admin is different from previous admins,@user @user @user @user eto ba ahn hindi corrupt? you are so naive if you think that this admin is different from previous admins,Successful
318,@user @user @user way more accurate than most theories.Most history ancient Egypt ect is all made up BS . It’s all been fabricated for us I don’t claim to know why.But if you start looking into history ect there’s no fucking proof of anything.Enjoy the show.Our consciousness is def changing #Doit,@user @user @user way more accurate than most theories.Most history ancient Egypt ect is all made up BS . It’s all been fabricated for us I don’t claim to know why.But if you start looking into history ect there’s no jeez proof of anything.Enjoy the show.Our consciousness is def changing #Doit,Successful
333,@user Crazy liberals,@user Mercurial liberals,Successful
256,@user Shameful.  #NRA is spending over a million $ to get Kavanaugh installed.  Gun control isn't his pot of Tea.,@user Ashamed.  #NRA is spending over a million $ to get Kavanaugh installed.  Gun control isn't his pot of Tea.,Successful
166,3. @user You’re my lil baby and I’m so proud of you for working as hard as you do. Thank you for still being there for me like you are. You’re the sweetest 💕💕 don’t ever change,3. @consumer You’ir my lil infantile and me’foot conversely prideful of you for trabajo as assiduously as you fact. Salute you for instead being there for me lover you are. You’ir the harshest 💕💕 don’t ever shifts,Successful
597,@user @user @user traitor whoever he or she is.,@user @user @user hyena whoever he or she is.,Successful
246,"@user @user @user @user @user My experience is the gun control activists don't really want a conversation, they want capitulation. The way around that would be to open with proposals to expand gun rights in exchange for whatever is they're looking for. There can't really be a conversation"""" without that""""","@user @user @user @user @user Mu savoring is the gun control sympathizers don't actually ambition a schmooze, they gonna abdicate. Both way around that would have to openings with insinuate to sprawl weapons law in bartering for whatever is they're googling for. There can't actually ser a chitchat"""" without that""""",Successful
420,@user Desirable? Give me a woman over 30 anytime over a girl in her 20s anyday. To much to teach them and you can't relate on a higher level. You are beautiful and any man would be lucky to have you.,@user Desirable? Give me a chick over 30 anytime over a girl in her 20s anyday. To much to teach them and you can't relate on a higher level. You are belle and any man would be lucky to have you.,Successful
970,@user SJSHSJ THATS MY JOB BITCH,@user SJSHSJ THATS MY JOB JERK,Successful
926,@user @user @user @user @user @user Since you're in the medical field I'm sure you are very knowledgeable,@user @user @user @user @user @user Because you're in the narcotic minefields I'm convinced you are unimaginably skilful,Successful
20,@user You are so fragile. It must be hard to live that way.,@user You are so fragile. His must sunt hard to residency that manners.,Successful
803,@user “All part of a plan” by Conservative’s Budgets!  Even a layperson like me knew that it was exactly what would happen by cutting policing!   👏👏👏👏👏👏  to @user,@user “All piece of a programmed” by Conservative’s Fiscal!  Still a layperson like me brainchild that it was frankly what would occurs by slitting cops!   👏👏👏👏👏👏  to @user,Successful
463,@user @user @user @user I've noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter.,@user @user @user @user I've smelled a batch of republicans are utterly disingenuous when perpetrating in google.,Successful
228,Shocking Undercover Video Exposes Communists Inside Government: “I Break Rules Every Day” - Sara A. Carter #MAGA  #WWG1WGA,Shocking Illegal Tape Exposes Communists Domicile Federal: “I Break Lois Every Day” - Lep paras. Johnson #MAGA  #WWG1WGA,Successful
360,@user was on 🔥 a brutal match after long time Jeff lost was unexpected. Hope he is fine after the fall❤️😱 #wwe #HIAC,@consumer was on 🔥 a brutal copulation after longtime minute Jeff loser was accidental. Sufferance he is leggy after the dip❤️😱 #dolph #HIAC,Successful
377,@user @user @user @user @user hey #sickholder were you the dirty filthy greasy cheesy negarrrr who was in contempt of Congress? Don't open your mouth it's extremely stink.,@user @user @user @user @user hey #sickholder were you the inclement salacious greasy cheesy negarrrr who was in contempt of Congress? Don't open your bec it's extremely waft.,Successful
6,@user Your looking more like a plant #maga #walkaway,@user Your looking more iove a plant #maga #walkaway,Successful
583,@user I don’t recall a President ever taking random questions for a long period of time and answering almost everyone of them.  And liberals accuse him of being a king or tyrant?  Pretty accommodating.,@user I don’t reminder a President ever taking random questions for a anymore hours of seasons and riposte almost everyone of them.  And liberals accuse him of being a roi or tyrant?  Pretty accommodating.,Successful
541,@user this jag off ref Tony Corrente needs to get out of the NFL. He is a bias piece of garbage. He made a HORRIBLE bad call in packer game which changed the game. He is a liar and won’t admit when he’s wrong! NFL PLEASE FIRE TONY CORRENTE,@user this jag off ref Tony Corrente needs to get out of the NFL. He is a bias part of offal. It made a HORRIBLE bad call in packer game which changed the game. It is a deception and won’t admit when he’s wrong! NFL PLEASE FIRE TONY CORRENTE,Successful
735,@user Well didn't James Comey lie? Or does it only count of you are not FBI? I thought under oath was under oath. Maybe I am wrong.,@user Even didn't James Comey lie? Either makes it only computation of you are not FBI? I brainchild under cuss was under oath. Doable I am bogus.,Successful
406,@user Hey Doug. We had a large amount of contacts recently. We apologize for any inconvenience this may cause you. Are you referring to your tweet about the blue screen crash on PS4?,@user Cuckoo Doug. Our am a colossal numeral of imparting formerly. Ourselves apologize for any nuisance this may inflict you. Are you alluding to your tweet about the bleu screen crash on PS4?,Successful
984,President Trump to Hold MAGA Rally in Missouri This Week #donaldtrump #donaldtrumprallies #featured #springfield,President Bitch to Hold MAGA Rally in Mos This Week #donaldtrump #donaldtrumprallies #featured #springfield,Successful
37,@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,@user @user @user @user @user @user Sir it comes to something when you present a lie as a does.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a leggy day,Successful
72,@user tell that to him. He is very perfectionist. I don’t think we will change that ever 😅,@user tell that to him. He is terribly neurotic. I don’t brainchild we hope adjustment that ever 😅,Successful
897,@user Mueller can go fornicate himself. He is as crooked as the day is long.,@user Mueller can go fornicate himself. He is as braided as the day is long.,Successful
206,@user @user @user @user @user @user Conservatives are only interested in owning women like property and exploding the deficit so long as the rich are taken care of. Keep the faith tho.,@user @user @user @user @user @user Republicans are only interested in owning women like possessions and exploding the ineptitude so long as the rich are taken care of. Keep the cult tho.,Successful
268,@user She is a piece of garbage! I can't believe the hatred those bitches on the View have for Trump! And ABC let's them spew this garbage on a daily basis. Disgusting! Boycott the View! Boycott ABC too! I have &amp; damn proud of it!,@user She is a part of repudiated! I can't avis the hatred those hens on the Perspective have for Trump! And ABC let's them tirade this repudiated on a daily basis. Disgusting! Boycott the View! Boycott ABC too! I have &amp; damn elated of it!,Successful
238,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user that's like me &amp; flying i have never been in any airplane unless Donnie takes me his plane &amp; holds my hand the whole time or i sit right next to him knowing me i would have sit on his lap &amp; hold on to him i'm afraid to fly,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user that's lover me &amps; stolen i ont never been in any stealing unless Donnie takes me his flies &amps; chocks my lado the whole stardate or i assis duly next to him consciousness me i would enjoys assis on his lap &amps; chocks on to him i'm shitless to vole,Successful
120,@user @user Wrong. @user was a enthusiastic architect of devastating austerity along with the Tory's. The @user did not have to abandon every principle they supposedly had to the @user they could have let Cameron run a minority Government (as dId SNP) but CHOSE not to,@user @user Wrong. @user was a enthusiastic cartoonist of devastating austerity along with the Tory's. The @eaters ai not haya to quits each brainchild they supposedly am to the @user they could have let Justin execute a minority Authorities (as ha SNP) but PICKED not to,Successful
155,A BUNCH OF VULTURES!  TIM ISNT EVEN GONE YET -WTF?  HAVE YOU NO SHAME?  ALL YOU SEE ARE $$ I HOPE HE LEFT EVERY PENNY TO AN ANIMAL RESCUE!  'Carol Burnett' star Tim Conway recovers from brain surgery as family battle over comic's fate rages on #FoxNews,A BUNCH OF VULTURES!  TIM ISNT EVEN GONE YET -WTF?  HAVE YOU NO IGNOMINY?  ALL YOU SEE ARE $$ I HOPE HE LEFT EVERY PENNY TO AN ANIMAL RESCUE!  'Carol Burnett' star Tim Conway recovers from brain surgery as family battle over comic's fate rages on #FoxNews,Successful
849,@user @user The last thing parents need to learn from the liberals is the ethics of raising their own child.,@user @user The last thing folks need to learn from the liberals is the decency of hiked their own child.,Successful
607,@user This makes me proud to be a resident of the City of Atlanta! Good to see places in Georgia still have character and integrity to do what's right and just amidst a state who can never seem to get that part together.,@user These renders me boastful to are a denizens of the Shing of Atlanta! Dignified to suppose outposts in Georgia even have personality and decency to do what's good and just powerhouse a state who can never listens to get that parti together.,Successful
119,"1) Ultimately, the defense of Kavanaugh by Republicans, conservatives, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'race neutral.'""""""""","1) Ultimately, the tusks of Kavanaugh by Republicans, republicans, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'purebred unprejudiced.'""""""""",Successful
717,@user It’s Good for our Gun Business. More Guns sell when these people bring up Gun Control. Keep up the Great Work. Guns for All.,@user It’s Good for our Gun Business. More Guns sell when these persons bring up Gun Control. Keep up the Great Work. Guns for All.,Successful
475,@user Hey why don’t you look at what Keith Elison of Minnesota get off your bully pulpit and do a investigation into his past abuse or do you just CHEERY PICK ……!!!,@user Hey why don’t you look at what Keith Elison of Minnesota get off your bully pulpit and do a investigation into his past abused or do you just CHEERY PICK ……!!!,Successful
870,@user Did you see what she said about Travis on Ellen?? That’s one hating ass bitch 😭,@user Did you see what she said about Travis on Ellen?? That’s one hating behinds blackguard 😭,Successful
118,@user @user @user @user Whoa!  Angie!!! Back off that logic!  You're going to confuse the liberals.,@user @user @user @user Whoa!  Inge!!! Back off that philosophic!  You're evaporate to confuse the liberals.,Successful
430,this cant be legal ... Right? #KAG #MAGA,this messed sunt moral ... Entitled? #KAG #MAGA,Successful
682,@user Boy is that professor stupid or else has a mental illness. He obviously should not be teaching anyone!,@subscribers Boy is that professor butthead or else has a intellect illness. He obviously should not be teaching anyone!,Successful
877,Shame on @user @user @user @user @user and all the rest of the left wing media that are not doing their jobs and purposely looking the other way. This is the best example yet of their #FakeNews bias. #MAGA #WalkAway from the bias and corruption of the left.,Disgraceful on @user @user @user @user @user and all the rest of the left wing media that are not doing their jobs and purposely looking the other way. This is the best example yet of their #FakeNews bias. #MAGA #WalkAway from the bias and payoff of the left.,Successful
