,original,perturbed,type
148,"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .","tim allen is noteworthy in his role but never sow the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .",Successful
248,presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it .,presents an malignant appraisal of middle american musical torpor and the desperate struggle to escape it .,Successful
792,"it turns out to be a cut above the norm , thanks to some clever writing and sprightly acting .","it turns out to be a cut above the norm , felicitations to some clever writing and sprightly acting .",Successful
244,"though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .","upon mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and afflicts yearns are sure to please anyone in search of a julius and jim for the freshly millennium .",Successful
520,it's a count for our times .,it's a conde for our times .,Successful
696,"it's hard not to be seduced by [witherspoon's] charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max .","it's hard not to be seduced by [witherspoon's] charisma , even in this run-of-the-mill vehicle , because this chicks knows how to drive it to the shitload .",Successful
888,"it is a kickass , dense sci-fi action thriller hybrid that delivers and then some . i haven't seen one in so long , no wonder i didn't recognize it at first .","it is a kickass , thickened sci-fi action romp hybrid that quotation and then some . i haven't seen one in so long , no wonder i didn't recognize it at first .",Successful
97,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,writer-director whopper imaginatively fans the rollers of a dormant nationwide condolences and oddball that ai calcified into continual cynicism and shitless .,Successful
638,"on its own cinematic terms , it successfully showcases the passions of both the director and novelist byatt .","on its proprietary cinematic terms , it successfully underlined the aspirations of both the director and columnist byatt .",Successful
749,"nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives hollywood .","listless and difficult , it taps into genuine imaginative befuddlement , and at the same scheduling presents a scathing indictment of what drives hollywood .",Successful
56,"manages to be original , even though it rips off many of its ideas .","manages to be original , even nevertheless it rips off many of its ideas .",Successful
225,"mr . parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .","mr . parker has impeccably updated his source and construed its essence , understand a sorrowful and hilarious tons ditty about discarded labor , or an absurdist workplace sitcom .",Successful
982,"without resorting to hyperbole , i can state that kissing jessica stein may be the best same-sex romance i have seen .","without resorting to hyperbole , i can state that kissing jessica stein may be the more same-sex romance i have seen .",Successful
940,"the powers team has fashioned a comedy with more laughs than many , no question . but this time there's some mold on the gold .","the powers team has resembling a caricature with more laughs than many , no question . but this time there's some mold on the dorado .",Successful
823,it's neither as romantic nor as thrilling as it should be . but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .,it's neither as romantic nor as scintillating as it should constitutes . but it prescribes alot to pondered and chew on as its abnormal relationship slowly unfolds .,Successful
963,"more honest about alzheimer's disease , i think , than iris .","more upstanding about alzheimer's disease , i think , than iris .",Successful
843,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python's meaning of life .","a charming , loony and tastefully abetted scottish comedy -- except with an outrageous centralized thing that could have been a refusal from monte python's logic of life .",Successful
65,the invincible werner herzog is alive and well and living in la,the invincible werner fassbinder is perennial and too and residing in la,Successful
133,"[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists .","[schweiger is] qualified and dreadfully charismatic , prerogatives momentous to both filming stars and social anarchists .",Successful
210,at its best early on as it plays the culture clashes between the brothers .,at its preferable early on as it plays the culture clashes between the brothers .,Successful
139,"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket .","if your impression haven't been atrophied by slasher theatre and gorefests , if you're a aesthete of devin disgust , this is your tickets .",Successful
475,"not a cozy or ingratiating work , but it's challenging , sometimes clever , and always interesting , and those are reasons enough to see it .","not a cozy or ingratiating work , but it's burdensome , rarely clever , and always interesting , and those are reasons enough to see it .",Successful
601,"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .","conclusive as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .",Successful
647,"but tongue-in-cheek preposterousness has always been part of for the most part wilde's droll whimsy helps "" being earnest "" overcome its weaknesses and parker's creative interference . . .","but tongue-in-cheek preposterousness has ceaselessly been part of for the most part wilde's droll whimsy pomoc "" being earnest "" overcome its weaknesses and parker's creative interference . . .",Successful
340,farrell . . . thankfully manages to outshine the role and successfully plays the foil to willis's world-weary colonel .,farrell . . . thankfully manages to outshine the role and legitimately is the foiled to willis's world-weary colonel .,Successful
640,pray's film works well and will appeal even to those who aren't too familiar with turntablism .,pray's flick operated well and will resorted even to those who aren't too knowledgeable with turntablism .,Successful
775,about nowhere kids who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down version of the american dream .,about nowhere kids who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down printouts of the american dream .,Successful
978,"the film is painfully authentic , and the performances of the young players are utterly convincing .","the scorsese is badly authentic , and the performances of the young players are utterly convincing .",Successful
425,"if the message seems more facile than the earlier films , the images have such a terrible beauty you may not care .","if the message seems more facile than the earlier films , the images have such a terrible jamil you may not care .",Successful
1,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .","the gorgeously elaborate incessant of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately portrays co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",Successful
748,"'charly' will divide its audience in two separate groups , those reaching for more tissues and those begging for mercy . . .","'charly' va divide its onlooker in two separate groups , those reaching for more tissues and those begging for mercy . . .",Successful
791,full frontal is the antidote for soderbergh fans who think he's gone too commercial since his two oscar nominated films in 2000,full frontal is the curative for soderbergh fans who think he's dissipated too commercial since his two oscar nominated films in 2000,Successful
735,"so young , so smart , such talent , such a wise * * * .","so young , so malignant , such talent , such a wise * * * .",Successful
960,"an enjoyable film for the family , amusing and cute for both adults and kids .","an contented scorsese for the dwelling , goofy and leggy for both grownup and infantile .",Successful
933,"mixes likeable personalities , inventive photography and cutting , and wall-to-wall toe-tapping music to paint a picture of a subculture that is at once exhilarating , silly , perverse , hopeful and always fun .","intermingled amiable personalities , inventive films and cutting , and wall-to-wall toe-tapping tunes to drawing a picture of a counterculture that is at once invigorating , laughable , misshapen , sure and routinely fun .",Successful
686,". . . spiced with humor ( 'i speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( silver's parrot has been replaced with morph , a cute alien creature who mimics everyone and everything around )",". . . spiced with humor ( 'i speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand ) and sardonic updatings ( silver's parrot has been replaced with morph , a cute alien creature who mimics everyone and everything around )",Successful
872,"funny and , at times , poignant , the film from director george hickenlooper all takes place in pasadena , "" a city where people still read . ""","weird and , at times , poignant , the film from director george hickenlooper all takes place in pasadena , "" a city where people still read . """,Successful
560,"divine secrets of the ya-ya sisterhood may not be exactly divine , but it's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances .","divine cloaked of the ya-ya sisterhood may not be exactly divine , but it's definitely -- smugly -- ya ya , what with all of those terrific paroles and spirited performances .",Successful
13,"one of the greatest family-oriented , fantasy-adventure movies ever .","one of the worst family-oriented , fantasy-adventure cinemas ever .",Successful
464,"this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap .","this cuddly sequel to the 1999 hit is a little more visually scrubbed , a little funnier , and a little more madcap .",Successful
977,"after making several adaptations of other writers' work , armenian-canadian director atom egoyan broached an original treatment of a deeply personal subject .","after devising several adaptations of other writers' work , armenian-canadian director atom egoyan broached an rudimentary treatment of a severely personal subject .",Successful
496,a byzantine melodrama that stimulates the higher brain functions as well as the libido .,a thrace melodrama that abetted the higher brain functions as well as the libido .,Successful
221,the dangerous lives of altar boys' take on adolescence feels painfully true .,the dangerous lives of altar boys' take on adolescence feels painfully practical .,Successful
952,"two hours of melodramatic musical married to two hours of underdog sports intrigue , if the picture also shares the weaknesses of both genres , more's the pity .","two times of melodramatic musical married to two hours of underdog sports intrigue , if the picture also shares the weaknesses of both genres , more's the pity .",Successful
599,"branagh , in his most forceful non-shakespeare screen performance , grounds even the softest moments in the angry revolt of his wit .","branagh , in his most forceful non-shakespeare screen performance , grounds even the meanest moment in the angry revolt of his wit .",Successful
716,"hilarious , touching and wonderfully dyspeptic .","hilarious , afflict and terrifically dyspeptic .",Successful
790,"a work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director eric byler , who understands the power of the implicit and the virtues of simplicity and economy .","a function of the dire subtlety and understanding , it marks the defaulted role debut of writer-director eric byler , who understands the powers of the connivance and the benefit of ease and saving .",Successful
