,original,perturbed,type
364,"it's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report delivers all that and a whole lot more .","it's uncommon to unearth a film that dazzles the eye , difficulties the brain , and meets our lust for fast-paced action , but minority report provides all that and a entirety lot more .",Successful
265,"an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video .","an staggering debut for first-time writer-director mark romanek , principally considering his background is in music video .",Successful
600,"though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes .","although the violence is far less sadistic than customary , the movie is symptomatic miike : quickly , enraged and full of off-the-cuff creative flourishes .",Successful
539,"as a revenge thriller , the movie is serviceable , but it doesn't really deliver the delicious guilty pleasure of the better film versions .","as a revenge thriller , the movie is usable , but it doesn't really deliver the delicious culpability pleasure of the better film versions .",Successful
276,"the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime .","the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply wondrous .",Successful
134,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious .,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is contagious .,Successful
266,"an incendiary , deeply thought-provoking look at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightening theocracy","an incendiary , severely thought-provoking gaze at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightful theocracy",Successful
291,"as a director , mr . ratliff wisely rejects the temptation to make fun of his subjects .","as a director , mr . ratliff prudently dismiss the temptation to make amusing of his topic .",Successful
669,has a plot full of twists upon knots . . . and a nonstop parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .,has a plot full of twists upon knots . . . and a continual parade of mock-tarantino scuzbag kinds that starting out clever but veers into overkill .,Successful
731,"at nearly three hours , the whole of safe conduct is less than the sum of its parts .","at nearly three hours , the whole of safe behavior is less than the sum of its parts .",Successful
410,"most impressive , though , is the film's open-ended finale that refuses to entirely close its characters' emotional wounds .","most staggering , although , is the film's open-ended finale that refuse to utterly close its characters' emotional wound .",Successful
287,"it could change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .","it could change america , not only because it is full of necessary discussion points , but because it is so available that it makes complicated politics understandable to viewers searching for nothing but vigorous entertainment .",Successful
425,"if the message seems more facile than the earlier films , the images have such a terrible beauty you may not care .","if the message seems more facile than the previous movie , the pictures have such a horrible beauty you may not care .",Successful
649,"the path ice age follows most closely , though , is the one established by warner bros . giant chuck jones , who died a matter of weeks before the movie's release .","the route ice age follows most closely , albeit , is the one established by warner bros . giant chuck jones , who die a matter of weeks before the movie's release .",Successful
399,"chalk it up to my adoration for both de niro and murphy , but i had a pretty good time with this movie - despite its myriad flaws .","chalk it up to my adoration for both de niro and murphy , but i had a pretty good time with this movie - albeit its myriad failings .",Successful
376,"often gruelling and heartbreaking to witness , but seldahl and wollter's sterling performances raise this far above the level of the usual maudlin disease movie .","frequently exhausting and heartbreaking to witness , but seldahl and wollter's sterling performances raising this far above the tier of the routine maudlin disease movie .",Successful
583,"an offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays .","an offbeat , occasionally gross and curiously attractive animated movie about the true meaning of the holidays .",Successful
