,original,perturbed,type,labels
10,"Visited for brunch again on a rainy winter Sunday.  I reaffirm my previous comments.\n\nGood service.  Generally great food (the breakfast pastries, my breakfast polenta and the wife's scallops were fantastic), however inconsistencies still prevent the 5-star praise.\n\nWhile the coffee is great, the crud in the creamer and a dirty spoon to start the meal off were not.  In addition, I may have had one of the most bi-polar plates of my life...  braised lamb on grilled sourdough.  The lamb itself was kiss-yo-mama good...  seriously, this meat is a fork cutting affair.  However, the bread itself seemed stale and completely took away from the star in the spot light.\n\nAs with Eleven, you can't go wrong with the brunch pre-fix, so be prepared to need a wheel barrel to get yourself out the door!","Visited for brunch again on a rainy winter Sunday.  I reconfirm my beforehand commentaries.\n\nGood service.  Generally great diet (the breakfast pastries, my breakfast polenta and the wife's scallops were beautiful), however inconsistencies still forestall the 5-star praise.\n\nWhile the coffee is great, the crud in the creamer and a dirty spoon to start the meal off were not.  In addition, I may have had one of the most bi-polar plates of my life...  braised lamb on grilled sourdough.  The lamb itself was kiss-yo-mama good...  gravely, this meat is a fork cutting affair.  However, the bread itself seemed stale and completely taken away from the star in the spot light.\n\nAs with Eleven, you can't go erroneous with the brunch pre-fix, so be prepared to need a wheel barrel to get yourself out the door!",Successful,2.8
11,"Some how even though the food at this Eat'n Park is down right abominable, the smiles and laughter is always there.  How can I stay mad when the prices or so cheep? Myself my boyfriend and his nephew had lunch with milkshakes and me having a coffee it was $31.00\n\nOn this particular occasion the fire alarm went off and rang and rang and rang loud and long for over 15 minutes before the fire department got there realized they didn't have key to turn it off and than another 10 minutes later finally shut it off...only at Eatn' Park.\n\nMy baked potato was hard as a rock, I had ordered two pieces of baked cod and only received one. \n\nThe waitress was very sweet and attentive and really attempted to build a rapport with our lil nephew which I thought was sweet.","Some how even though the diet at this Eat'n Park is down rights heinous, the smiles and laughter is always there.  How can I stay mad when the prices or so cheep? Myself my boyfriend and his nephew had dinners with milkshakes and me having a coffee it was $31.00\n\nOn this particular occasion the fire alarmed went off and rang and rang and rang vocal and long for over 15 minutes before the fire department got there realized they didn't have keys to turning it off and than another 10 minutes later finally closure it off...only at Eatn' Park.\n\nMy baked apples was hard as a rock, I had ordered two pieces of baked cod and only received one. \n\nThe barmaid was very sweet and attentive and genuinely attempted to build a rapport with our lil nephew which I think was sweet.",Successful,2.6
12,"If you want to be wowed by musical talent and want to laugh all night, go to Sing Sing :) If you send a dollar up with a song request, they will play it. If they don't know it, they will ask for the person who put the request in so they can sing something else they like, or they will look up the lyrics and sing it!! They aim to please :) I have definitely been pleased :)","If you want to be wowed by musical talent and want to laughs all nightly, go to Sung Sing :) If you send a dollar up with a song request, they will play it. If they don't know it, they will ask for the person who put the request in so they can sing something else they like, or they will look up the lyrics and singing it!! They aim to please :) I have doubtless been contented :)",Successful,2.8
13,"That is a great cat they have working, but they only have 3 brands of cat food, all of them expensive.  Funny enough though not as expensive as what I was looking for.  They followed me around like I was going to stuff my pockets and that just ruined the whole mom and pop thing.","That is a great cat they have collaborate, but they only have 3 brands of cat eating, all of them expensive.  Funny enough though not as expensive as what I was looking for.  They followed me about like I was going to stuff my pockets and that just ruined the totality mom and pops thing.",Successful,2.2
14,"Barnes & Noble, it's like the Wal-Mart of bookstores.  Beating down the competition of other now defunct national competitors and mom and pop type stores alike.  \n\nI'm not quite sure whether I'm in a cafe, at a newspaper stand, a book store, a CD shop, a movie house or a flea market sometimes.  With all the tables and shelves that  you have to dodge it's a bit hard to figure it out.  Feels like the place should implode on itself and then reform into an audio book about coffee.\n\nI don't know about y'all, but I'd rather buy my books from a place that has more knowledge about the merchandise they are selling than a national chain like this.","Barnes & Noble, it's like the Wal-Mart of bookstores.  Beating down the competition of other now defunct national contenders and momma and pop typing storage alike.  \n\nI'm not quite sure whether I'm in a cafe, at a newspaper stand, a book store, a CD shop, a movie house or a flea market sometimes.  With all the tables and shelves that  you have to dodge it's a bit hard to figure it out.  Feels like the placing should implode on itself and then reforms into an audio book about coffee.\n\nI don't know about y'all, but I'd rather buy my books from a place that has more knowledge about the merchandise they are selling than a national string like this.",Successful,2.2
15,"I was home for the holidays and wanted to take some friends of mine climbing.  They've never belayed and don't have equipment so my hope was that we could go, I could test out of the belay class and we could top rope some easy climbs.\n\nDreams crushed.  Only people that are belay certified can even be in the top rope room.  I would've had to pay $5 to test out of the certification and even if my friends wanted to take a quick lesson on how to belay, its only at very specific times and you need to give advanced notice.\n\nSo we bouldered.  The walls are old, made of smooth plywood and though the walls are a good variety, you eventually end up right on top of one another.  You can only top out on one tiny section, everything else backs right up to another wall or and abyss.  With someone who isn't super comfortable down climbing or jumping from the top, I wasn't always super excited to fall when there wasn't a nice big cushion.  Those were only on the overhanging walls.\n\nThe place was super busy on a Sunday afternoon and group after group rolled in.  I understood why there were so many VB and VB+ routes (easier than V0's).\n\nSide note: cubbies are completely separate from the bouldering area and no food or drinks are allowed inside the bouldering area.  Therefore your water stays in your cubby, plan carefully.\n\nI expected better from Pittsburgh and heard that there is a new gym coming, so I'll be waiting for that one before I try to climb again in da burgh.","I was home for the holidays and wanted to take some friends of mine climbing.  They've never belayed and don't have equipment so my hope was that we could go, I could test out of the belay class and we could top rope some easy climbs.\n\nDreams crushed.  Solely people that are belay certified can even be in the top rope room.  I would've had to pay $5 to test out of the certification and even if my friends wanted to take a quick lesson on how to belay, its only at very specific times and you need to give advanced notice.\n\nSo we bouldered.  The walls are ancient, made of smooth plywood and though the walls are a good variety, you eventually end up right on top of one another.  You can only top out on one tiny section, everything else backs right up to another wall or and abyss.  With someone who isn't super comfortable down climbing or jumping from the top, I wasn't always super excited to fall when there wasn't a nice big cushion.  Those were only on the overhanging walls.\n\nThe placing was super busy on a Sunday afternoon and group after group rolled in.  I understood why there were so many VB and VB+ routes (easier than V0's).\n\nSide note: cubbies are completely separate from the bouldering area and no food or drinks are allowed inside the bouldering area.  Therefore your water stays in your cubby, plan carefully.\n\nI awaited improved from Pittsburgh and heard that there is a new gym coming, so I'll be waiting for that one before I try to climb again in da burgh.",Successful,3.0
16,"Microbrewed beers are only a plus to me when they're better than the beer I would have drank otherwise.  One waitress I had while there tried to split the uprights between macrobrew and trendy by describing one of their beers as \""""kind of like Coors Light\"""".  If I wanted Coors, I'll pay half as much and have one.  \n\nThe food is actually a saving grace, as it was pretty good.  Head next door to Sing Sing for drinks, though.","Microbrewed beers are only a plus to me when they're better than the beer I would have drank otherwise.  One waitress I had while there tried to split the uprights between macrobrew and trendy by outline one of their beers as \""""kind of like Coors Light\"""".  If I wanted Coors, I'll pay half as much and have one.  \n\nThe diet is actually a saving grace, as it was quite good.  Head impending door to Sings Singing for drinks, though.",Successful,2.4
17,"I've found the service here to be pretty terrible. Servers can be pretty careless about taking care of simple things and my friends have had similar experiences. The food is really pretty good, but if the overall service sucks, then well, it makes it hard to enjoy a tasty meal. Sorry Storm, you need to improve this.","I've unearthed the service here to be pretty fearsome. Servers can be pretty remiss about taking care of uncomplicated things and my chums have had comparable experience. The food is really pretty good, but if the general service sucks, then well, it makes it hard to enjoy a scrumptious meal. Sorry Storm, you needed to enhance this.",Successful,2.4
18,"If you've got that talent to create something out of the unexpected, then you HAVE to stop here.\n\nI was looking for something unusual to use in my apartment for storage.  I had stopped at several big box stores around the city before here and left each one of them in disappointment. \n\nI must admit, driving to this place I was a little skeptical.  I pulled in and honestly thought that Yelp directed me to a warehouse.  But I did not let that deter me from venturing out of my car and into the building.  Once you walk inside it is like walking into someone's garage that you just want to rummage through.  You know what I mean, you walk in and see all this dingy looking stuff that you see potential in.  You want to take it home with you.  sometimes you want to polish it up and make it look new, other times you want to let it be and let that distressed look shine through.\n\nI easily spent a hour in here just browsing the shelves.  I saw potential in a lot of the items I saw lining their shelves.  And I took a few items home with me.  When I reached the register I was truly floored by the price.  When I say that, it's because it was so low.  I was expecting to pay more, but I definitely came out of there with more money in my pocket than I needed to, but that is one sure fired way to make sure that a person returns to your establishment.","If you've got that talent to create something out of the unexpected, then you HA to ceasing here.\n\nI was looking for something unusual to use in my apartment for storage.  I had stopped at several big box stores around the city before here and left each one of them in disappointment. \n\nI must admit, driving to this placing I was a small skepticism.  I pulled in and honestly thought that Yelp directed me to a warehouse.  But I did not let that dissuade me from venturing out of my car and into the building.  Once you walk inside it is like walking into someone's garage that you just want to rummage through.  You know what I mean, you walk in and behold all this dingy searching stuff that you behold prospective in.  You want to take it dwellings with you.  sometimes you want to polish it up and make it look newer, other times you want to let it be and let that distressed look shine through.\n\nI easily spent a hour in here just browsing the shelves.  I saw potential in a lot of the items I saw lining their shelves.  And I took a few items dwelling with me.  When I reached the registered I was truthfully floored by the pricing.  When I said that, it's because it was so low.  I was expecting to pay more, but I doubtless came out of there with more money in my pocket than I needed to, but that is one sure fired manner to make sure that a persons returns to your institution.",Successful,2.0
19,"I was pleased to finally find a place in Pittsburgh that's worth it for me to spend some money. I tire of eating out only to become dissatisfied knowing I could have made the meal better myself. Not here.\n\nThe food is made to order, seasonal, local, some organic...in short, they actually care about the quality of the food which is becoming a rare trait in restaurants today. I had made it a point to never eat fish in a Pittsburgh restaurant but Casbah changed my mind. The cod dish I had was delicious--not overcooked, breaded, too oily or too salty! \n\nDecor is subtle and great for a date. Service was friendly and accommodating.  I will most definitely return!","I was happy to eventually find a place in Pittsburgh that's worth it for me to spend some money. I tire of food out only to become dissatisfied knowing I could have made the meals better myself. Not here.\n\nThe food is made to decree, seasonal, local, some organic...in short, they actually care about the quality of the food which is becoming a rare attribute in catering today. I had made it a point to never eat fish in a Pittsburgh restaurant but Casbah modify my mind. The cod dish I had was delicious--not overcooked, breaded, too oily or too saline! \n\nDecor is nuanced and great for a dated. Service was friendly and accommodate.  I will most decidedly revert!",Successful,2.4
20,"Not much of a review for this one, but just a few tidbits of info...\n\nPool (on Friday/Saturday) is $14 per hour\n(I'm pretty sure its $10 through the week)\n\nMixed drinks are way too pricey for the location.\nThe food is crap.\n\nThe games are fun and the pool tables are nice (they're the big tournament style/size, not the shitty bar-room, tiny pool tables).\n\nThat is all.  :)\n\n(the pricing is based on my recent trip.\nWe shot pool for a few hours, I had a bar tab (that wasn't out of control) and my night ended up costing me $60","Not much of a review for this one, but just a few tidbits of info...\n\nPool (on Friday/Saturday) is $14 per hour\n(I'm pretty sure its $10 through the week)\n\nMixed drinks are manner too pricey for the location.\nThe diet is shit.\n\nThe games are fun and the pool tables are nice (they're the vast tournament styles/sized, not the crappy bar-room, tiny pool table).\n\nThat is all.  :)\n\n(the prices is based on my recent voyage.\nWe shot pooling for a few hours, I had a bar tab (that wasn't out of control) and my nighttime ended up price me $60",Successful,2.4
21,"I found Buffalo Blues to be merely OK.  I thought that their prices were a bit high for the size of the portions, and their wings were rather small.  I actually liked the wing sauces I tried, though (red hot and spicy garlic).  Our server was friendly, but not terribly attentive.  \n\nI would probably only go again on an all-you-can-eat wings night.  For $10 I would certainly get my money's worth, and the quality of the food was OK.\n\nSurprisingly, lots of vegetarian options.  A vegetarian in our party was floored by the possibility of having every burger or chicken sandwich made without meat or meat products.","I found Buffalo Blues to be exclusively OK.  I thought that their costs were a bit high for the size of the part, and their wings were rather small.  I actually liked the wing sauces I tried, though (red hottest and spicy garlic).  Our server was friendly, but not horribly vigilant.  \n\nI would probably only go again on an all-you-can-eat wings nightly.  For $10 I would certainly get my money's worth, and the quality of the diet was ALRIGHT.\n\nSurprisingly, lots of vegan options.  A vegetarian in our parties was floored by the possibilities of having every burger or chicken sandwich made without meat or meat products.",Successful,2.6
22,"I am so happy they got rid of those awful bar stools!!!   We often choose not to walk in to Casbah without a reservation because the bar area was historically uncomfortable.  They have traded out the old stools that were screwed in to the floor, too far from your companions, and didn't comfortably turn to face people (who thought that was a good idea?) in for some admittedly less attractive but functional chairs,  I'm a big fan of the lunch and dinner there--we'll add that more often to our walk-in list now,","I am so happier they got rid of those appalling bar feces!!!   We frequently choose not to walk in to Casbah without a reservation because the bar spheres was historically uncomfortable.  They have traded out the old stools that were screwed in to the floor, too far from your comrades, and didn't comfortably turn to confronting people (who thought that was a good idea?) in for some admittedly less tempting but functional chair,  I'm a large fan of the supper and dined there--we'll add that more often to our walk-in listing now,",Successful,1.6
23,"I eat at this place at least once a week.  No longer cash only, which is nice since I never have any.  As a vegan I like that I have a ton of options here, but that my meat-eating boyfriend is happy too.  Food is a little pricey and if you get more than an entree and coffee it's easy to quickly rack up quite a bill for such a modest seeming place.  My only real complaint is the inconsistency of the service.  It's totally hit or miss.  I've never felt targeted with \""""attitude,\"""" but I have experienced long waits for the menu, coffee, water, the check - but weirdly, never the food. Most of the time I leave happy, sometimes irritated, but I'm always full and ready for a nap.","I eat at this place at fewest once a week.  No longer cash only, which is nice since I never have any.  As a vegan I like that I have a ton of alternative here, but that my meat-eating boyfriend is glad too.  Food is a small pricey and if you get more than an entree and coffee it's easy to quickly rack up quite a bill for such a modest seeming place.  My only real complaint is the inconsistency of the service.  It's totally hit or miss.  I've never felt targeted with \""""attitude,\"""" but I have seasoned long waits for the menu, coffee, water, the check - but bizarrely, never the food. Most of the time I leave merry, occasionally irritated, but I'm perpetually full and ready for a nap.",Successful,2.6
24,"I've heard a bunch of good things about this place, so I decided to make a trip over there on a Sunday to check it out. While I enjoyed the coffee and cookies I bought, I have to say that everything seems to be a bit overpriced and I did get a feeling of snobbery from some of the staff. However, the venue was actually nice with a nice neighborhood feel. Every time I have been there since it has been really crowded and I've had trouble finding a seat. I would love to go back in the summer and sit outside at one of the tables.","I've heard a bunch of good things about this place, so I decided to make a trip over there on a Sunday to audit it out. Although I enjoyed the coffee and cookies I purchased, I have to say that everything seems to be a bite overpriced and I did get a feeling of snobbery from some of the staff. However, the venue was actually nice with a nice neighborhood feel. Every time I have been there since it has been really overcrowded and I've had trouble finding a seat. I would love to go back in the summer and sit outside at one of the tables.",Successful,2.6
25,"Considering my absolute love for sweets - and more specifically, ice cream - it just doesn't make sense that it took me nearly 6 years of living in Pittsburgh to go to Page Dairy Mart. The only bad thing is that it's too close to where we live, so I can expect my sugar intake to go through the roof now.\n\nAs you walk up, it's easy to be overwhelmed by the signage and menu, as they seem to have everything that you could ever imagine. In fact, you might just be better off walking up and ordering whatever you want without looking at the menu. Odds are, they'll just smile and run off to make it. I mean, if they have toasted coconut soft serve ice cream, what don't they have, right?\n\nThe people that work there are all really pleasant and the ice cream is excellent! It is cash only, so that might be a downside if you're just randomly stopping by for the first time, but it's one place where the long lines are truly warranted in this town. Don't worry, though, usually the line isn't actually long at all. They take your order quickly at Page and your order will actually be up impressively fast for the amount of people ordering thanks to Page Dairy Mart's army of ice cream servers on staff. That \""""line\"""" of people will disappear as quickly as a new one appears.\n\nA night hasn't gone by since our first visit that my wife and I haven't wanted to go back. Only our conscious willpower has kept us away, and there aren't a lot of places that have left me feeling that way, so kudos to Page Dairy Mart and their staff! \n\nHeck, it's snowing today, and I'm probably going to go!","Considering my absolute loved for sweets - and more specifically, ice cream - it just doesn't make sense that it took me approximately 6 years of living in Pittsburgh to go to Page Dairy Mart. The only bad thing is that it's too shutting to where we live, so I can expect my sugar intake to go through the ceiling now.\n\nAs you walk up, it's easy to be overwhelmed by the signage and menu, as they seem to have every that you could ever presume. In fact, you potentially just be better off walking up and ordering whatever you want without looking at the menus. Odds are, they'll just smile and run off to make it. I mean, if they have toast coconut soft serve ice cream, what don't they have, rights?\n\nThe people that collaborating there are all really pleasant and the icing cream is admirable! It is money only, so that might be a downside if you're just randomly stop by for the first time, but it's one placing where the lengthy lines are really warranted in this town. Don't worry, although, normally the line isn't actually lengthy at all. They take your order rapid at Page and your order will actually be up dramatically rapid for the amount of people orders thanked to Page Dairy Mart's army of ice cream server on staffing. That \""""line\"""" of people will disappear as rapidly as a new one appear.\n\nA nightly hasn't faded by since our first visits that my wife and I haven't wished to go back. Exclusively our conscious willpower has kept us away, and there aren't a batch of locations that have left me feeling that way, so kudos to Page Milk Mart and their staffing! \n\nHeck, it's snowing today, and I'm presumably going to go!",Successful,2.8
26,"Excellent pizza - although the mushrooms were from a can. But the crust , sauce and rest of toppings on the Sicilian pizza were delicious. Nice family friendly","Wondrous pizza - though the mushrooms were from a can. But the crust , sauce and rest of toppings on the Sicilian pizza were appetizing. Nice family friendly",Successful,3.8
27,"Typical Starbucks coffee chain. 2 things I dont like about this Starbucks: \n\n1. Ive been there twice and both times the place has been dirty, compared to the other Starbucks I have been in.\n\n2. If you have to use the bathroom, they give you a key thats attached to this nasty bottle. Im pretty sure they dont clean that bottle after every use or even nightly.\n\nAside from that, good coffee and fast/friendly service.","Typical Starbucks coffee chain. 2 things I dont like about this Starbucks: \n\n1. Ive been there twice and both times the place has been squalid, compared to the other Starbucks I have been in.\n\n2. If you have to use the bathroom, they give you a key thats attached to this nasty bottle. Im pretty sure they dont clean that bottle after every use or even nightly.\n\nAside from that, good coffee and fast/friendly service.",Successful,3.4
28,"I came in here to have a diagnosis done on my car because the ABS light was on. \nThey removed all the tires, showed me how the sensor and ABS work, did not perform the diagnosis I originally went in for and told me that I should have the back wheel hubs replaced for a total of $1,222, this with a new set of breaks (that I knew about) and \""""without\"""" charging me labor. \nI may not know much about cars but I know how to search the internet and ask for advice. I found the cost of wheel hubs, they are no more than $150 each (for my car) and here they said that they cost $550 each (before labor). \n\nI also found out that the sensors get so soiled from all the dirt and salt that most of the time all the car needs is a simple wash on the undercarriage. You should always have your car washed, specially in the winter. It may save you $100's.\n\nThis place will rob you blind.\n\nNever have work done in a place like this until you do your homework!","I came in here to have a diagnosed done on my automobiles because the ABS light was on. \nThey removed all the pneumatic, showed me how the detectors and ABS collaborate, did not fulfil the diagnostic I originally went in for and told me that I should have the back wheels hubs replaced for a total of $1,222, this with a new set of breaks (that I knew about) and \""""without\"""" charging me labor. \nI may not know much about car but I know how to quest the internet and ask for advice. I unearthed the costing of wheel hubs, they are no more than $150 each (for my motor) and here they say that they cost $550 each (before labor). \n\nI also discovered out that the sensor get so salacious from all the dirt and salt that most of the time all the cars needs is a simple washing on the undercarriage. You should always have your car washed, specially in the winter. It may save you $100's.\n\nThis place will rob you blinded.\n\nNever have collaborating accomplished in a placing like this until you do your schoolwork!",Successful,2.8
29,Food phenomenal! Service can be hit or miss.,Food noteworthy! Service can be hit or miss.,Successful,2.8
