,original,perturbed,type,labels
18,"a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience .","a widespread and problematic drama -- one that pushes the boundaries of biographer , and challenges its audience .",Successful,1.8
19,"without resorting to hyperbole , i can state that kissing jessica stein may be the best same-sex romance i have seen .","without resorting to hyperbole , i can state that kissing jessica stein may be the more same-sex romance i have seen .",Successful,2.8
20,"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .","conclusive as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .",Successful,3.0
21,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .","as lo-fi as the special effects are , the folks who cobbled nemesis together splurge the force of humanity over hardware in a way that george lucas has long forgotten .",Successful,2.6
22,"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable .","you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predict .",Successful,3.2
23,"cedar takes a very open-minded approach to this sensitive material , showing impressive control , both visually and in the writing .","hickory assumes a very open-minded gait to this susceptible material , shown impressive surveillance , both vividly and in the writing .",Successful,1.8
24,"from the big giant titles of the opening credits to elmer bernstein's perfectly melodic score , haynes gets just about everything right .","from the big giant titles of the opening credits to elmer bernstein's perfectly melodic score , haynes gets just about everything bon .",Successful,3.2
25,one hour photo is an intriguing snapshot of one man and his delusions ; it's just too bad it doesn't have more flashes of insight .,one hour photo is an mysterious snapshot of one man and his delusions ; it's just too bad it doesn't have more flashlights of insight .,Successful,2.8
26,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious .,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is communicable .,Successful,3.0
27,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .","behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of centres .",Successful,2.6
28,"the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret out the next great thing . 'tadpole' was one of the films so declared this year , but it's really more of the next pretty good thing .","the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret out the next great thing . 'tadpole' was one of the films so declared this year , but it's really more of the next pretty adequate thing .",Successful,3.6
29,must be seen to be believed .,must be seen to be estimation .,Successful,2.0
30,"run , don't walk , to see this barbed and bracing comedy on the big screen .","run , don't walk , to see this barbed and bracing joke on the big screen .",Successful,2.2
31,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,at heart the movie is a clumsily wrought suspense yarn whose richer shadings work as coloring rather than substance .,Successful,2.0
32,"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances .","painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and baffling film performances .",Successful,3.2
33,"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .","though of particular interest to students and enthusiast of international dance and world music , the film is designed to make bystanders of all ages , cultural backgrounds and rhythmic ability want to get up and dance .",Successful,3.2
34,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke .,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examined of what makes a joke a joke .,Successful,3.2
35,"sam jones became a very lucky filmmaker the day wilco got dropped from their record label , proving that one man's ruin may be another's fortune .","sam jones became a very lucky filmmaker the today wilco got dropped from their record label , proving that one man's ruin may be another's fortune .",Successful,2.8
36,"a work of intricate elegance , literary lyricism and profound common sense .","a work of laborious elegance , literary lyricism and profound common sense .",Successful,3.4
37,i whole-heartedly recommend that everyone see this movie-- for its historical significance alone .,i whole-heartedly recommend that everyone worm this movie-- for its historical importance alone .,Successful,2.4
38,"it's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report delivers all that and a whole lot more .","it's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report puts all that and a whole lot more .",Successful,3.6
39,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere .","doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs we with the movie's spycraft and resorted damon's ability to be focused and sincere .",Successful,3.0
40,". . . spiced with humor ( 'i speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( silver's parrot has been replaced with morph , a cute alien creature who mimics everyone and everything around )",". . . spiced with humor ( 'i speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand ) and zany updatings ( silver's parrot has been replaced with morph , a cute alien creature who mimics everyone and everything around )",Successful,3.2
41,a worthwhile way to spend two hours .,a presentable way to spend two hours .,Successful,2.8
42,". . . a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920's . . . the film's ending has a "" what was it all for ? "" feeling to it , but like the 1920's , the trip there is a great deal of fun .",". . . a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920's . . . the film's ending has a "" what was it all for ? "" feeling to it , but like the 1920's , the trip there is a great deal of jest .",Successful,3.4
43,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such unlikable actors .,Successful,1.2
44,"though everything might be literate and smart , it never took off and always seemed static .","though everything might be literate and smart , it never catch off and always seemed static .",Successful,3.2
45,". . . a weak , manipulative , pencil-thin story that is miraculously able to entertain anyway .",". . . a weak , manipulative , pencil-thin story that is narrowly able to entertain anyway .",Successful,3.2
46,"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .","tadpole is a convoluted , funny and good-natured treaty , meagre but a pleasure .",Successful,2.2
47,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally weird , always very coloured and enjoyably overblown in the traditional almodóvar style .",Successful,3.0
48,"it's a nicely detailed world of pawns , bishops and kings , of wagers in dingy backrooms or pristine forests .","it's a sheepishly detailed world of pawns , bishops and kings , of wagers in dingy backrooms or pristine forests .",Successful,2.2
49,"you wouldn't call the good girl a date movie ( an anti-date movie is more like it ) , but when it's good , it's good and horrid .","you wouldn't call the good girl a date movie ( an anti-date movie is more like it ) , but when it's good , it's good and loathsome .",Successful,3.2
50,"it's a brave attempt to tap into the heartbeat of the world , a salute to the universal language of rhythm and a zippy sampling of sounds .","it's a bravest attempt to tap into the heartbeat of the world , a salute to the universal language of rhythm and a zippy sampling of sounds .",Successful,3.6
51,"this isn't a narrative film -- i don't know if it's possible to make a narrative film about september 11th , though i'm sure some will try -- but it's as close as anyone has dared to come .","this isn't a novels cameraman -- i don't heed if it's probable to implement a prose theater about augusto 11th , upon i'm sure some will searching -- but it's as close as anyone has chanced to entries .",Successful,1.6
52,"maybe it's just because this past year has seen the release of some of the worst film comedies in decades . . . but honestly , analyze that really isn't all that bad .","maybe it's just because this past year has seen the release of some of the worst film comedies in decades . . . but honestly , analyze that really isn't all that inauspicious .",Successful,3.2
53,"enormously likable , partly because it is aware of its own grasp of the absurd .","enormously unlikable , partly because it is grateful of its singly confiscating of the folly .",Successful,1.4
54,""" auto focus "" works as an unusual biopic and document of male swingers in the playboy era",""" auto focus "" works as an aberrant biopic and document of male swingers in the playboy era",Successful,3.0
55,"de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never showy , film whose bittersweet themes are reinforced and brilliantly personified by michel piccoli .","de oliveira poses an emotionally rich , poetically plump and visually fulsome , but never noteworthy , film whose bittersweet themes are reinforced and brilliantly personified by michel piccoli .",Successful,2.4
56,a great comedy filmmaker knows great comedy needn't always make us laugh . tim story's not there yet - but 'barbershop' shows he's on his way .,a gargantuan comedy filmmaker knows great comedy needn't always make us laugh . tim story's not there yet - but 'barbershop' shows he's on his way .,Successful,3.2
57,"culkin , who's in virtually every scene , shines as a young man who uses sarcastic lies like a shield .","culkin , who's in virtually every scene , glisten as a young man who uses sarcastic lies like a shield .",Successful,3.4
58,"a provocative movie about loss , anger , greed , jealousy , sickness and love .","a instigated movie about loss , anger , greed , jealousy , sickness and love .",Successful,3.2
59,"it helps that the central performers are experienced actors , and that they know their roles so well .","it pomoc that the central performers are experience actors , and that they know their roles so well .",Successful,2.2
60,"it sounds sick and twisted , but the miracle of shainberg's film is that it truly is romance","it sound sicko and madwoman , but the marvels of shainberg's cameraman is that it exactly is romance",Successful,1.6
61,"as teen movies go , "" orange county "" is a refreshing change","as teen movies go , "" orange rounding "" is a upgraded change",Successful,2.2
62,woo's fights have a distinct flair . his warriors collide in balletic explosion that implies an underlying order throughout the chaos .,woo's fights have a distinct donating . his warriors collide in balletic explosion that implies an underlying order throughout the instability .,Successful,2.8
63,i don't think i've been as entranced and appalled by an asian film since shinya tsukamoto's iron man .,i don't think i've been as mystified and appalled by an asian film since shinya tsukamoto's iron man .,Successful,2.8
64,"workmanlike , maybe , but still a film with all the elements that made the other three great , scary times at the movies .","workmanlike , maybe , but once a film with all the elements that made the other three great , scary times at the movies .",Successful,3.4
65,the film makes a strong case for the importance of the musicians in creating the motown sound .,the film makes a hard case for the importance of the musicians in creating the motown sound .,Successful,3.2
66,"lends itself to the narcotizing bland ( sinister , though not nearly so sinister as the biennial disney girl movie ) machinations of the biennial disney boy movie .","ripe itself to the narcotizing bland ( sinister , though not nearly so sinister as the biennial disney girl movie ) machinations of the biennial disney boy movie .",Successful,2.8
67,"it's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .","it's not even much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .",Successful,2.8
68,"smith's point is simple and obvious -- people's homes are extensions of themselves , and particularly eccentric people have particularly eccentric living spaces -- but his subjects are charmers .","smith's point is simple and obvious -- people's homes are extensions of themselves , and particularly eccentric people have particularly eccentric living spaces -- but his subjects are juggler .",Successful,2.6
69,stephen earnhart's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens .,stephen earnhart's homespun documentary mule skinner blues has nothing but cared for its posse of trailer park denizens .,Successful,2.6
70,"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is riveting .","watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is perplexing .",Successful,2.0
71,thoroughly enjoyable .,exactly lovable .,Successful,3.0
72,nair does capture the complexity of a big family and its trials and tribulations . . .,nair got incarcerate the complexity of a big family and its trials and hassles . . .,Successful,2.0
73,"light , cute and forgettable .","headlight , cute and forgettable .",Successful,2.8
74,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .","the rock is destined to be the 21st century's new "" conan "" and that he's going to render a splash even stricter than arnold schwarzenegger , jean-claud van damme or steven segal .",Successful,2.8
75,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .","it prolonging the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",Successful,3.0
76,"the diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time .","the diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the too brief 40-minute running time .",Successful,2.8
77,"a perverse little truffle , dainty psychological terror on the outside with a creamy filling of familial jealousy and unrepentant domestic psychopathy .","a malformed little truffle , dainty psychological terror on the outside with a creamy filling of familial jealousy and unrepentant domestic psychopathy .",Successful,2.4
78,the experience of watching blobby old-school cgi animation in this superlarge format is just surreal enough to be diverting .,the experience of watching blobby old-school cgi animation in this superlarge format is just surreal enough to be siphoning .,Successful,2.4
79,"if you liked such movies as notting hill , four weddings and a funeral , bridget jones' diary or high fidelity , then you won't want to miss about a boy .","if you liked such movies as notting hill , four weddings and a funeral , bridget jones' diary or high fidelity , then you won't want to senorita about a boy .",Successful,2.4
80,"an intelligent , earnest , intimate film that drops the ball only when it pauses for blunt exposition to make sure you're getting its metaphysical point .","an malignant , earnest , intimate scorsese that drops the ball only when it pauses for blunt exposition to make sure you're getting its metaphysical point .",Successful,2.2
81,"for its seriousness , high literary aspirations and stunning acting , the film can only be applauded .","for its seriousness , high literary aspirations and stun acting , the film can only be applauded .",Successful,3.8
82,"two hours of melodramatic musical married to two hours of underdog sports intrigue , if the picture also shares the weaknesses of both genres , more's the pity .","two dates of melodramatic musical married to two hours of underdog sports intrigue , if the picture also shares the weaknesses of both genres , more's the pity .",Successful,3.2
83,"a real story about real people living their lives concerned about the future of an elderly , mentally handicapped family member .","a hardheaded story about real people living their lives concerned about the future of an elderly , mentally handicapped family member .",Successful,2.4
84,"this is a raw and disturbing tale that took five years to make , and the trio's absorbing narrative is a heart-wrenching showcase indeed .","this is a gross and annoying narratives that took vs years to make , and the trio's absorbing narrative is a heart-wrenching showcase indeed .",Successful,2.0
85,"roman coppola may never become the filmmaker his dad was , but heck  few filmmakers will . but based on cq , i'll certainly be keeping an eye out for his next project .","roman coppola may never become the filmmaker his dad was , but heck  few filmmakers will . but based on cq , i'll certainly be keeping an binocular out for his next project .",Successful,3.0
86,the result is mesmerizing -- filled with menace and squalor .,the result is mystifying -- filled with menace and squalor .,Successful,2.8
87,"a bold and subversive film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of philip glass .","a bold and disastrous film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of philip glass .",Successful,2.6
88,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is baffling .,Successful,3.0
89,recalls quiet freak-outs like l'avventura and repulsion .,callbacks quiet freak-outs like l'avventura and repulsion .,Successful,2.8
90,"you'll be left with the sensation of having just witnessed a great performance and , perhaps , give in to the urge to get on your feet and shake it .","you'll be left with the sensation of having just witnessed a whopping performance and , perhaps , give in to the urge to get on your feet and shake it .",Successful,3.2
91,"the whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like bellini and mullinski , that the compact 86 minutes breezes by .","the whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like bellini and mullinski , that the compact 86 minutes bask by .",Successful,2.8
92,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .","morton is a gargantuan actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .",Successful,3.2
93,evokes a little of the fear that parents have for the possible futures of their children--and the sometimes bad choices mothers and fathers make in the interests of doing them good .,poses a little of the fear that parents have for the possible futures of their children--and the sometimes bad choices mothers and fathers make in the interests of doing them good .,Successful,3.0
94,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .","karmen actions like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",Successful,3.2
95,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .","the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a prettily novel ride .",Successful,3.0
96,disturbing and brilliant documentary .,disturbing and outstanding paperwork .,Successful,2.2
97,"it uses an old-time formula , it's not terribly original and it's rather messy -- but you just have to love the big , dumb , happy movie my big fat greek wedding .","it uses an old-time formula , it's not terribly original and it's rather messy -- but you just have to adores the big , dumb , happy movie my big fat greek wedding .",Successful,3.4
98,an involving true story of a chinese actor who takes up drugs and winds up in an institution--acted mostly by the actual people involved .,an comprise true conte of a chinese actor who takes up drugs and winds up in an institution--acted mostly by the actual people involved .,Successful,3.0
99,"starts off with a bang , but then fizzles like a wet stick of dynamite at the very end . it's still worth a look .","starts off with a bang , but then fizzles like a wet stick of dynamite at the very end . it's too worth a look .",Successful,2.6
