original,perturbed,type
"After waiting for almost 30 minutes to trade in an old phone part of the buy back program, our customer service rep incorrectly processed the transaction. This led to us waiting another 30 minutes for him to correct it. Don't visit this store if you want pleasant or good service.","After expecting for approximately 30 minutes to traded in an old telephone part of the buy back programmed, our customers service rep mistakenly processed the transaction. This led to us expecting another 30 minutes for him to corrects it. Don't visit this boutique if you wanna pleasant or good servicing.",Failed
Wonderful reuben.  Map shown on Yelp page is incorrect. It is actually a different Hawkins.  I'd recommend a call for directions 412-271-9911.,Splendid reuben.  Map shown on Yelp page is incorrect. It is actually a different Hawkins.  I'd recommend a call for directions 412-271-9911.,Successful
"After a morning of Thrift Store hunting, a friend and I were thinking of lunch, and he suggested Emil's after he'd seen Chris Sebak do a bit on it and had tried it a time or two before, and I had not. He said they had a decent Reuben, but to be prepared to step back in time.\n\nWell, seeing as how I'm kind of addicted to late 40's and early 50's, and the whole Rat Pack scene, stepping back in time is a welcomed change in da burgh...as long as it doesn't involve 1979, which I can see all around me every day.\n\nAnd yet another shot at finding a decent Reuben in da burgh...well, that's like hunting the Holy Grail. So looking under one more bush certainly wouldn't hurt.\n\nSo off we go right at lunchtime in the middle of...where exactly were we? At first I thought we were lost, driving around a handful of very rather dismal looking blocks in what looked like a neighborhood that had been blighted by the building of a highway. And then...AHA! Here it is! And yep, there it was. This little unassuming building with an add-on entrance with what looked like a very old hand painted sign stating quite simply 'Emil's. \n\nWe walked in the front door, and entered another world. Another time, and another place. Oh, and any Big Burrito/Sousa foodies might as well stop reading now. I wouldn't want to see you walk in, roll your eyes and say 'Reaaaaaalllly?'\n\nThis is about as old world bar/lounge/restaurant as it gets. Plain, with a dark wood bar on one side, plain white walls with no yinzer pics, good sturdy chairs and actual white linens on the tables. This is the kind of neighborhood dive that I could see Frank and Dino pulling a few tables together for some poker, a fish sammich, and some cheap scotch. And THAT is exactly what I love.\n\nOh...but good food counts too. \n\nWe each had a Reuben, and my friend had a side of fries. The Reubens were decent, but not NY awesome. A little too thick on the bread, but overall, tasty and definitely filling. Not too skimpy on the meat. I seriously CRAVE a true, good NY Reuben, but since I can't afford to travel right now, what I find in da burgh will have to do. But as we sat and ate, burgers came out to an adjoining table. Those were some big thick burgers. A steak went past for the table behind us. That was HUGE! And when we asked about it, the waitress said 'Yeah, it's huge and really good, and he only charges $12.99 for it, ain't that nuts?' Another table of five came in, and wham. Fish sandwiches PILED with breaded fish that looked amazing. Yeah, I want that, that, that and THAT!\n\nMy friend also mentioned that they have a Chicken Parm special one day of the week that is only served UNTIL 4 pm, and that it is fantastic. If only I could GET there on that week day before 4...\n\nThe waitress did a good job, especially since there was quite a growing crowd at lunchtime on a Saturday, and only one of her. She kept up and was very friendly. \n\nThey only have Pepsi products, so I had a brewed iced tea, which was very fresh, and she did pop by to ask about refills as often as she could. As the lunch hour went on, they were getting busy.\n\nEmil's is no frills, good portions, very reasonable prices, VERY comfortable neighborhood hole in the wall...kind of like Cheers, but in a blue collar neighborhood in the 1950's. Fan-freakin-tastic! I could feel at home here.\n\nYou definitely want to hit Mapquest or plug in your GPS though. I am not sure that I could find it again on my own...it really is a hidden gem. I will be making my friend take me back until I can memorize where the heck it is.\n\nAddendum: 2nd visit for the fish sandwich. Excellent. Truly. A pound of fish on a fish-shaped bun (as opposed to da burgh's seemingly popular hamburger bun). The fish was flavorful, the batter excellent, and for just $8. This may have been the best fish sandwich I've yet to have in da burgh.","After a morning of Thrift Store hunts, a friend and I were thinking of supper, and he suggested Emil's after he'd seen Chris Sebak do a bite on it and had attempted it a time or two before, and I had not. He says they had a decent Reuben, but to be prepared to step back in time.\n\nWell, seeing as how I'm genre of addicted to late 40's and early 50's, and the entirety Rat Pack scene, stepping back in time is a welcomed modification in da burgh...as long as it doesn't involve 1979, which I can see all approximately me every day.\n\nAnd yet another shot at conclusions a decent Reuben in da burgh...well, that's like hunt the Sacred Grail. So looking under one more bush doubtless wouldn't hurt.\n\nSo off we go right at lunchtime in the middle of...where accurately were we? At first I idea we were lost, drive approximately a handful of very rather bleak looking blocks in what looked like a vicinity that had been blighted by the building of a highway. And then...AHA! Here it is! And yup, there it was. This small modest building with an add-on entry with what looked like a very elderly hand paint sign asserting quite merely 'Emil's. \n\nWe walked in the front door, and entered another world. Another time, and another placing. Ah, and any Big Burrito/Sousa foodies might as well halting reading now. I wouldn't want to see you walk in, roll your eyes and say 'Reaaaaaalllly?'\n\nThis is about as elderly world bar/lounge/restaurant as it gets. Plain, with a dark wood bar on one side, plain white walls with no yinzer pics, good sturdy preside and actual white linens on the table. This is the genre of neighborhood dives that I could see Frank and Dino pulling a few tables together for some poker, a fish sammich, and some cheaper scotch. And THAT is accurately what I love.\n\nOh...but good food counts too. \n\nWe each had a Reuben, and my friends had a side of fries. The Reubens were presentable, but not NY remarkable. A small too thick on the bread, but general, tasty and doubtless fill. Not too skimpy on the meat. I seriously CRAVE a true, good NY Reuben, but since I can't afford to travel right now, what I find in da burgh will have to do. But as we sat and ate, burgers came out to an adjoining table. Those were some big thick burgers. A steak went past for the table behind us. That was HUGE! And when we asked about it, the waitress said 'Yeah, it's huge and really good, and he only charges $12.99 for it, ain't that nuts?' Another table of five came in, and wham. Fish sandwiches PILED with breaded fish that looked amazing. Yeah, I want that, that, that and THAT!\n\nMy friend also mentioned that they have a Chicken Parm special one day of the week that is only served UNTIL 4 pm, and that it is fantastic. If only I could GET there on that week day before 4...\n\nThe waitress did a good job, especially since there was quite a growing crowd at lunchtime on a Saturday, and only one of her. She kept up and was very friendly. \n\nThey only have Pepsi products, so I had a brewed iced tea, which was very fresh, and she did pop by to ask about refills as often as she could. As the lunch hour went on, they were getting busy.\n\nEmil's is no frills, good portions, very reasonable prices, VERY comfortable neighborhood hole in the wall...kind of like Cheers, but in a blue collar neighborhood in the 1950's. Fan-freakin-tastic! I could feel at home here.\n\nYou definitely want to hit Mapquest or plug in your GPS though. I am not sure that I could find it again on my own...it really is a hidden gem. I will be making my friend take me back until I can memorize where the heck it is.\n\nAddendum: 2nd visit for the fish sandwich. Excellent. Truly. A pound of fish on a fish-shaped bun (as opposed to da burgh's seemingly popular hamburger bun). The fish was flavorful, the batter excellent, and for just $8. This may have been the best fish sandwich I've yet to have in da burgh.",Failed
"This is a hidden gem, no really. It took us forever to find but well worth it. It is right across the street from the Rankin Police Station. The menu has a wide selection, I really couldn't decide what I wanted but I went with the ribeye sandwich. I'm glad i did too. Huge sandwich! I added mushrooms, it was very flavorful. My boyfriend got the fish sandwich, he enjoyed it as well. Fast and friendly service. Will definitely be back.","This is a disguised gem, no really. It took us forever to find but well worth it. It is right throughout the street from the Rankin Constabulary Station. The menu has a broad selection, I genuinely couldn't decide what I wanted but I went with the ribeye sandwich. I'm glad i did too. Huge sandwich! I added mushroom, it was very flavorful. My boyfriend got the fish sandwich, he enjoyed it as well. Speedy and friendly service. Volition doubtless be back.",Failed
"Awesome drink specials during happy hour. Fantastic wings that are crispy and delicious, wing night on Tuesday and Thursday!","Remarkable drink specials during happy hour. Awesome wings that are crispy and tasty, wing night on Monday and Yesterday!",Failed
Very disappointed in the customer service. We ordered Reuben's  and wanted coleslaw instead of kraut. They charged us $3.00 for the coleslaw. We will not be back . The iced tea is also terrible tasting.,Very disappointed in the customer service. We decreed Reuben's  and wanna coleslaw instead of kraut. They charged us $3.00 for the coleslaw. We will not be back . The iced tea is also fearsome taste.,Failed
"Used to go there for tires, brakes, etc.  Their prices have gone way up-$400 for 4 mid-level tires for a Toyota.  Plus, 1 of the new tires went flat within 3 weeks.  Since they don\""""t make appointments,  the wait to get the tire looked at was ~2 hours.  Sorry--can't wait that long to get a warranted repair,  They lost my business for good.","Used to go there for tires, brakes, etc.  Their costs have disappeared manner up-$400 for 4 mid-level pneumatic for a Toyota.  Anymore, 1 of the novel pneumatic went apartment within 3 weeks.  Since they don\""""t make designation,  the wait to get the tire looked at was ~2 hours.  Sorry--can't expecting that long to get a warrant repairing,  They lost my business for good.",Failed
"I got 'new' tires from them and within two weeks got a flat. I took my car to a local mechanic to see if i could get the hole patched, but they said the reason I had a flat was because the previous patch had blown - WAIT, WHAT? I just got the tire and never needed to have it patched? This was supposed to be a new tire. \nI took the tire over to Flynn's and they told me that someone punctured my tire, then tried to patch it. So there are resentful tire slashers? I find that very unlikely. After arguing with the guy and telling him that his logic was far fetched he said he'd give me a new tire \""""this time\"""". \nI will never go back to Flynn's b/c of the way this guy treated me and the simple fact that they gave me a used tire!","I get 'new' tires from them and within two weeks got a flat. I took my car to a local mechanic to see if i could get the hole patched, but they say the motif I had a flat was because the beforehand patch had blown - WAITS, WHAT? I just got the tire and never needed to have it patched? This was supposed to be a new tire. \nI taken the tires over to Flynn's and they tell me that anybody punctured my tires, then tried to patch it. So there are resentful tire slashers? I find that very unlikely. After arguing with the fella and telling him that his logic was far fetched he said he'd give me a novel tire \""""this time\"""". \nI will never go back to Flynn's b/c of the path this boy processed me and the uncomplicated fact that they yielded me a using tire!",Failed
"Terrible. Preordered my tires and when I arrived they couldn't find the order anywhere. Once we got through that process I waited over 2 hours for them to be put on... I was originally told it would take 30 mins. Slow, over priced, I'll go elsewhere next time.","Fearsome. Preordered my tires and when I arrived they couldn't find the decree anywhere. Once we get through that processed I awaited over 2 hours for them to be put on... I was originally told it would take 30 mins. Slowing, over priced, I'll go elsewhere next time.",Failed
"I've been informed by a fellow Yelper that they are just closed for the season, I hope they're right! I find it strange they don't keep their phone number in service with a recording and that they didn't cover the course up to protect it from weather, vandalism, etc. Either way, I can't wait to get my game on in the spring!","I've been notified by a fellow Yelper that they are just shut for the season, I hope they're rights! I unearth it strange they don't maintain their phones number in servicing with a recording and that they didn't cover the course up to protections it from weather, vandalism, etc. Either path, I can't await to got my game on in the springs!",Successful
"Don't waste your time.  We had two different people come to our house to give us estimates for a deck (one of them the OWNER).  Both times, we never heard from them.  Not a call, not the estimate, nothing.","Don't waste your time.  We had two divergent people come to our dwellings to give us estimating for a deck (one of them the OWNER).  Both times, we never heard from them.  Not a call, not the estimating, nothing.",Failed
"I will start by saying we have a nice new deck. That is where the good part ends.\n\nWhy two stars if we have a nice deck now? Well, it all started in May when we had a man named Al come out and talk to us about the process. He was a true salesman, I'll tell you that. Not a straight shooter, but an excited salesman that wanted to sell... And we bought into it.\n\nHe told us they were backed up with the harsh winter and a lot of jobs, but they could probably start by June 24th. Mind you, this was the end of May we met with him. He said they would have to do a survey of our land and get a permit from Dormont before they started. We felt confident in going with them, and booked it.\n\nHere's where things fell apart. Weeks went by with no word from them on the process. Finally I called and left messages. Al finally got in touch with me and the conversation was utterly confusing. He must have not understood me because he just kept talking in circles. So I hung up not knowing what was going on. Finally I called back and the admin told me that the survey could take a couple weeks to come back. I wish Al would have told us that.\n\nSo our June 24th date came and went. We finally got our survey. And they were quick to bill us for it, but no word on where we were in the process. I called back a couple times with no real answers from the admin. Apparently they were now waiting for the permit from Dormont.\n\nA month later, I was frustrated and asked to speak with someone at the company. I spoke with someone who told me that Dormont usually takes a week to process the permit, but we were now going on a month. He told me he would bug the guy about it and we finally got it. \n\nI completely understand that waiting on the permit is not their fault, but why no communication about it? Just call me and tell me they're waiting for the permit, but they'll work towards asking Dormont what the hold up is. Seems simple.\n\nFinally we get the permit and work is supposed to start. Tuesday comes and they have to wait for approval from Dormont on holes they're digging. So holes are dug and equipment is put in my backyard and then nothing happens for two days. Where did everyone go? Who knows, because I wasn't informed! \n\nI was upset and contacted the company owner, Dave, by email. I told him how frustrated I was about the lack of communication. He wrote me two sentences that  said \""""there will be acres there tomorrow morning to finish and most will be done tomorrow.\"""" Well, that didn't happen.\n\nThen two other dudes show up two days later and did work for about three hours and left. The main guy comes back the next day and says they did it wrong. So apparently the part about how they wouldn't need access to my house changes to they're drilling bolts into my house to secure he deck. \n\nFinally, the second week into construction, my tiny 10x11 foot deck is done. It was upsetting that they left the deck dirty, and all the dirt and cement they moved around wasn't cleaned up. I even asked them to fill all the holes they dug up and didn't use, and they only filled up one. When you create a construction project, isn't it just good business to clean it up and make it look nice? Didn't happen here.\n\nMy main point is, contractors have a reputation for not being the most trustworthy. Why be that company? Why not be an upstanding company that consumers can trust? My main issues with them were that things were not communicated to me properly up front, nor was the ongoing process communicated to me. Then they left everything unfinished in my eyes, leaving the site dirty. I understand things happen and things get delayed, but just email or call me. It's not that hard to keep me updated, it is 2014 with a million ways to be contacted.\n\nEven though I have a nice deck (after I clean things up myself!), I would not recommend them to anyone.","I will commence by saying we have a nice newest deck. That is where the good portions end.\n\nWhy two stars if we have a nice deck now? Well, it all commencement in May when we had a man named Al coming out and conversation to us about the processed. He was a true seller, I'll tell you that. Not a straight gunman, but an excited seller that wanna to selling... And we bought into it.\n\nHe tell us they were backed up with the tough winter and a batch of job, but they could arguably commence by June 24th. Intellect you, this was the ends of May we met with him. He say they would have to do a surveyed of our land and get a permit from Dormont before they launch. We felt confident in going with them, and booked it.\n\nHere's where things dipped additionally. Weeks went by with no word from them on the processed. Ultimately I called and left messaging. Al ultimately get in touching with me and the conversation was totally confusing. He must have not comprehend me because he just preserved talking in circles. So I hung up not knowing what was going on. Eventually I called back and the admin tell me that the survey could take a coupling weeks to come back. I wish Al would have told us that.\n\nSo our June 24th dating came and went. We finally get our survey. And they were swiftly to invoices us for it, but no word on where we were in the process. I called back a couple times with no real answers from the managerial. Apparently they were now waiting for the permits from Dormont.\n\nA month later, I was frustrated and requested to speak with somebody at the enterprise. I spoke with someone who tell me that Dormont traditionally takes a week to processed the permissions, but we were now going on a month. He told me he would bug the dude about it and we finally got it. \n\nI fully comprehend that wait on the permissions is not their fault, but why no communicating about it? Righteous call me and told me they're awaits for the permissions, but they'll collaborate towards request Dormont what the hold up is. Seems simple.\n\nFinally we get the permissions and working is alleged to initiates. Monday happens and they have to expecting for approving from Dormont on keyholes they're excavated. So holes are dug and devices is put in my backyard and then nothing happens for two days. Where did everyone go? Who knows, because I wasn't informed! \n\nI was upset and contacted the company owner, Dave, by email. I told him how frustrated I was about the lack of communication. He wrote me two sentences that  said \""""there will be acres there tomorrow morning to finish and most will be done tomorrow.\"""" Well, that didn't happen.\n\nThen two other dudes show up two days later and did work for about three hours and left. The main guy comes back the next day and says they did it wrong. So apparently the part about how they wouldn't need access to my house changes to they're drilling bolts into my house to secure he deck. \n\nFinally, the second week into construction, my tiny 10x11 foot deck is done. It was upsetting that they left the deck dirty, and all the dirt and cement they moved around wasn't cleaned up. I even asked them to fill all the holes they dug up and didn't use, and they only filled up one. When you create a construction project, isn't it just good business to clean it up and make it look nice? Didn't happen here.\n\nMy main point is, contractors have a reputation for not being the most trustworthy. Why be that company? Why not be an upstanding company that consumers can trust? My main issues with them were that things were not communicated to me properly up front, nor was the ongoing process communicated to me. Then they left everything unfinished in my eyes, leaving the site dirty. I understand things happen and things get delayed, but just email or call me. It's not that hard to keep me updated, it is 2014 with a million ways to be contacted.\n\nEven though I have a nice deck (after I clean things up myself!), I would not recommend them to anyone.",Failed
Hoofah.,Hoofah.,Failed
Average run of the mill store.  Associates are young teens and they really don't know where anything is.  Luckily I am able to get around to find everything.  Found my puppy treats and moved on.,Average run of the mill store.  Associates are young youngsters and they really don't know where anything is.  Luckily I am able to got about to find everything.  Found my doggie treats and moved on.,Failed
